ratiocoverage,guard_number,map_type,map_size,map_density,
0.0038,1,maze,10000,0.5425,
0.0105,2,maze,10000,0.5425,
0.0259,3,maze,10000,0.5425,
0.0409,4,maze,10000,0.5425,
0.0617,5,maze,10000,0.5425,
0.0799,6,maze,10000,0.5425,
0.0995,7,maze,10000,0.5425,
0.1283,8,maze,10000,0.5425,
0.1472,9,maze,10000,0.5425,
0.18,10,maze,10000,0.5425,
0.0063,1,maze,10000,0.5424,
0.0122,2,maze,10000,0.5424,
0.0297,3,maze,10000,0.5424,
0.0421,4,maze,10000,0.5424,
0.0686,5,maze,10000,0.5424,
0.092,6,maze,10000,0.5424,
0.1177,7,maze,10000,0.5424,
0.1448,8,maze,10000,0.5424,
0.1728,9,maze,10000,0.5424,
0.1948,10,maze,10000,0.5424,
0.0041,1,maze,10000,0.5424,
0.0119,2,maze,10000,0.5424,
0.0299,3,maze,10000,0.5424,
0.0381,4,maze,10000,0.5424,
0.05,5,maze,10000,0.5424,
0.0742,6,maze,10000,0.5424,
0.0982,7,maze,10000,0.5424,
0.1156,8,maze,10000,0.5424,
0.1505,9,maze,10000,0.5424,
0.1824,10,maze,10000,0.5424,
0.0038,1,maze,10000,0.544,
0.0104,2,maze,10000,0.544,
0.0277,3,maze,10000,0.544,
0.0448,4,maze,10000,0.544,
0.0686,5,maze,10000,0.544,
0.0894,6,maze,10000,0.544,
0.1129,7,maze,10000,0.544,
0.1456,8,maze,10000,0.544,
0.1746,9,maze,10000,0.544,
0.2082,10,maze,10000,0.544,
0.0039,1,maze,10000,0.541,
0.0105,2,maze,10000,0.541,
0.0191,3,maze,10000,0.541,
0.0392,4,maze,10000,0.541,
0.0569,5,maze,10000,0.541,
0.0738,6,maze,10000,0.541,
0.0959,7,maze,10000,0.541,
0.1227,8,maze,10000,0.541,
0.1474,9,maze,10000,0.541,
0.1806,10,maze,10000,0.541,
