ratiocoverage,guard_number,map_type,map_size,map_density,
0.0012,1,maze,10000,0.4182,
0.0061,2,maze,10000,0.4182,
0.011,3,maze,10000,0.4182,
0.0199,4,maze,10000,0.4182,
0.0307,5,maze,10000,0.4182,
0.0424,6,maze,10000,0.4182,
0.0574,7,maze,10000,0.4182,
0.0754,8,maze,10000,0.4182,
0.0999,9,maze,10000,0.4182,
0.1221,10,maze,10000,0.4182,
0.0018,1,maze,10000,0.4173,
0.0074,2,maze,10000,0.4173,
0.0129,3,maze,10000,0.4173,
0.0226,4,maze,10000,0.4173,
0.0324,5,maze,10000,0.4173,
0.0418,6,maze,10000,0.4173,
0.0614,7,maze,10000,0.4173,
0.0785,8,maze,10000,0.4173,
0.0988,9,maze,10000,0.4173,
0.1187,10,maze,10000,0.4173,
0.0022,1,maze,10000,0.4159,
0.0055,2,maze,10000,0.4159,
0.0115,3,maze,10000,0.4159,
0.0201,4,maze,10000,0.4159,
0.0315,5,maze,10000,0.4159,
0.0443,6,maze,10000,0.4159,
0.0603,7,maze,10000,0.4159,
0.0783,8,maze,10000,0.4159,
0.097,9,maze,10000,0.4159,
0.1146,10,maze,10000,0.4159,
0.0054,1,maze,10000,0.418,
0.0102,2,maze,10000,0.418,
0.0159,3,maze,10000,0.418,
0.0237,4,maze,10000,0.418,
0.0322,5,maze,10000,0.418,
0.0432,6,maze,10000,0.418,
0.0586,7,maze,10000,0.418,
0.0745,8,maze,10000,0.418,
0.0923,9,maze,10000,0.418,
0.1114,10,maze,10000,0.418,
0.0017,1,maze,10000,0.4155,
0.006,2,maze,10000,0.4155,
0.0139,3,maze,10000,0.4155,
0.0228,4,maze,10000,0.4155,
0.031,5,maze,10000,0.4155,
0.0417,6,maze,10000,0.4155,
0.0531,7,maze,10000,0.4155,
0.0677,8,maze,10000,0.4155,
0.0839,9,maze,10000,0.4155,
0.1031,10,maze,10000,0.4155,
