ratiocoverage,guard_number,map_type,map_size,map_density,
0.0209,1,maze,10000,0.8545,
0.0604,2,maze,10000,0.8545,
0.1082,3,maze,10000,0.8545,
0.1561,4,maze,10000,0.8545,
0.2385,5,maze,10000,0.8545,
0.3143,6,maze,10000,0.8545,
0.4149,7,maze,10000,0.8545,
0.4967,8,maze,10000,0.8545,
0.5971,9,maze,10000,0.8545,
0.6746,10,maze,10000,0.8545,
0.0131,1,maze,10000,0.7292,
0.0324,2,maze,10000,0.7292,
0.0631,3,maze,10000,0.7292,
0.0971,4,maze,10000,0.7292,
0.14,5,maze,10000,0.7292,
0.1979,6,maze,10000,0.7292,
0.2522,7,maze,10000,0.7292,
0.3041,8,maze,10000,0.7292,
0.3711,9,maze,10000,0.7292,
0.4263,10,maze,10000,0.7292,
0.007,1,maze,10000,0.7309,
0.0274,2,maze,10000,0.7309,
0.0584,3,maze,10000,0.7309,
0.0974,4,maze,10000,0.7309,
0.1416,5,maze,10000,0.7309,
0.2022,6,maze,10000,0.7309,
0.2545,7,maze,10000,0.7309,
0.3021,8,maze,10000,0.7309,
0.3458,9,maze,10000,0.7309,
0.409,10,maze,10000,0.7309,
0.0154,1,maze,10000,0.7301,
0.0257,2,maze,10000,0.7301,
0.0635,3,maze,10000,0.7301,
0.108,4,maze,10000,0.7301,
0.1539,5,maze,10000,0.7301,
0.2114,6,maze,10000,0.7301,
0.2644,7,maze,10000,0.7301,
0.3074,8,maze,10000,0.7301,
0.3711,9,maze,10000,0.7301,
0.4208,10,maze,10000,0.7301,
0.0125,1,maze,10000,0.7297,
0.0362,2,maze,10000,0.7297,
0.0778,3,maze,10000,0.7297,
0.1159,4,maze,10000,0.7297,
0.1543,5,maze,10000,0.7297,
0.2158,6,maze,10000,0.7297,
0.2702,7,maze,10000,0.7297,
0.3098,8,maze,10000,0.7297,
0.3648,9,maze,10000,0.7297,
0.4235,10,maze,10000,0.7297,
