ratiocoverage,guard_number,map_type,map_size,map_density,
0.0098,1,maze,10000,0.7286,
0.0324,2,maze,10000,0.7286,
0.0606,3,maze,10000,0.7286,
0.0813,4,maze,10000,0.7286,
0.1325,5,maze,10000,0.7286,
0.1827,6,maze,10000,0.7286,
0.2244,7,maze,10000,0.7286,
0.2885,8,maze,10000,0.7286,
0.3581,9,maze,10000,0.7286,
0.4121,10,maze,10000,0.7286,
0.0023,1,maze,10000,0.4813,
0.0069,2,maze,10000,0.4813,
0.0159,3,maze,10000,0.4813,
0.0302,4,maze,10000,0.4813,
0.0429,5,maze,10000,0.4813,
0.0592,6,maze,10000,0.4813,
0.0819,7,maze,10000,0.4813,
0.1011,8,maze,10000,0.4813,
0.1228,9,maze,10000,0.4813,
0.1477,10,maze,10000,0.4813,
0.002,1,maze,10000,0.4806,
0.0067,2,maze,10000,0.4806,
0.0163,3,maze,10000,0.4806,
0.0264,4,maze,10000,0.4806,
0.0418,5,maze,10000,0.4806,
0.0616,6,maze,10000,0.4806,
0.0761,7,maze,10000,0.4806,
0.0929,8,maze,10000,0.4806,
0.1128,9,maze,10000,0.4806,
0.1403,10,maze,10000,0.4806,
0.0054,1,maze,10000,0.4801,
0.0105,2,maze,10000,0.4801,
0.0214,3,maze,10000,0.4801,
0.0297,4,maze,10000,0.4801,
0.0423,5,maze,10000,0.4801,
0.0637,6,maze,10000,0.4801,
0.0754,7,maze,10000,0.4801,
0.0932,8,maze,10000,0.4801,
0.1232,9,maze,10000,0.4801,
0.1436,10,maze,10000,0.4801,
0.0017,1,maze,10000,0.479,
0.0064,2,maze,10000,0.479,
0.0152,3,maze,10000,0.479,
0.0239,4,maze,10000,0.479,
0.0398,5,maze,10000,0.479,
0.056,6,maze,10000,0.479,
0.0764,7,maze,10000,0.479,
0.0944,8,maze,10000,0.479,
0.117,9,maze,10000,0.479,
0.1288,10,maze,10000,0.479,
