ratiocoverage,guard_number,map_type,map_size,map_density,
0.0173,1,maze,10000,0.7601,
0.0381,2,maze,10000,0.7601,
0.0766,3,maze,10000,0.7601,
0.1243,4,maze,10000,0.7601,
0.2003,5,maze,10000,0.7601,
0.2507,6,maze,10000,0.7601,
0.3101,7,maze,10000,0.7601,
0.3807,8,maze,10000,0.7601,
0.4325,9,maze,10000,0.7601,
0.4909,10,maze,10000,0.7601,
0.0133,1,maze,10000,0.7617,
0.034,2,maze,10000,0.7617,
0.0675,3,maze,10000,0.7617,
0.1094,4,maze,10000,0.7617,
0.175,5,maze,10000,0.7617,
0.2197,6,maze,10000,0.7617,
0.2791,7,maze,10000,0.7617,
0.3505,8,maze,10000,0.7617,
0.429,9,maze,10000,0.7617,
0.4949,10,maze,10000,0.7617,
0.0202,1,maze,10000,0.7615,
0.0499,2,maze,10000,0.7615,
0.0861,3,maze,10000,0.7615,
0.1261,4,maze,10000,0.7615,
0.179,5,maze,10000,0.7615,
0.2357,6,maze,10000,0.7615,
0.2853,7,maze,10000,0.7615,
0.3327,8,maze,10000,0.7615,
0.3878,9,maze,10000,0.7615,
0.4331,10,maze,10000,0.7615,
0.0194,1,maze,10000,0.7614,
0.0393,2,maze,10000,0.7614,
0.0717,3,maze,10000,0.7614,
0.1235,4,maze,10000,0.7614,
0.1758,5,maze,10000,0.7614,
0.2464,6,maze,10000,0.7614,
0.3078,7,maze,10000,0.7614,
0.3719,8,maze,10000,0.7614,
0.4256,9,maze,10000,0.7614,
0.4918,10,maze,10000,0.7614,
0.0179,1,maze,10000,0.7603,
0.0418,2,maze,10000,0.7603,
0.0751,3,maze,10000,0.7603,
0.1246,4,maze,10000,0.7603,
0.1913,5,maze,10000,0.7603,
0.2468,6,maze,10000,0.7603,
0.3066,7,maze,10000,0.7603,
0.3508,8,maze,10000,0.7603,
0.4245,9,maze,10000,0.7603,
0.4864,10,maze,10000,0.7603,
