ratiocoverage,guard_number,map_type,map_size,map_density,
0.0267,1,maze,10000,0.8545,
0.0732,2,maze,10000,0.8545,
0.1302,3,maze,10000,0.8545,
0.1932,4,maze,10000,0.8545,
0.2852,5,maze,10000,0.8545,
0.3697,6,maze,10000,0.8545,
0.4675,7,maze,10000,0.8545,
0.5337,8,maze,10000,0.8545,
0.6437,9,maze,10000,0.8545,
0.7045,10,maze,10000,0.8545,
0.0243,1,maze,10000,0.8548,
0.0612,2,maze,10000,0.8548,
0.0908,3,maze,10000,0.8548,
0.1409,4,maze,10000,0.8548,
0.2387,5,maze,10000,0.8548,
0.2935,6,maze,10000,0.8548,
0.3963,7,maze,10000,0.8548,
0.4877,8,maze,10000,0.8548,
0.6041,9,maze,10000,0.8548,
0.6789,10,maze,10000,0.8548,
0.0226,1,maze,10000,0.8548,
0.0606,2,maze,10000,0.8548,
0.1119,3,maze,10000,0.8548,
0.1713,4,maze,10000,0.8548,
0.2544,5,maze,10000,0.8548,
0.3324,6,maze,10000,0.8548,
0.3943,7,maze,10000,0.8548,
0.5017,8,maze,10000,0.8548,
0.5959,9,maze,10000,0.8548,
0.6817,10,maze,10000,0.8548,
0.0207,1,maze,10000,0.8547,
0.0595,2,maze,10000,0.8547,
0.1065,3,maze,10000,0.8547,
0.1669,4,maze,10000,0.8547,
0.2702,5,maze,10000,0.8547,
0.3883,6,maze,10000,0.8547,
0.4747,7,maze,10000,0.8547,
0.5554,8,maze,10000,0.8547,
0.6334,9,maze,10000,0.8547,
0.6916,10,maze,10000,0.8547,
0.0227,1,maze,10000,0.8547,
0.059,2,maze,10000,0.8547,
0.1115,3,maze,10000,0.8547,
0.1859,4,maze,10000,0.8547,
0.2409,5,maze,10000,0.8547,
0.3148,6,maze,10000,0.8547,
0.4103,7,maze,10000,0.8547,
0.5087,8,maze,10000,0.8547,
0.5867,9,maze,10000,0.8547,
0.6666,10,maze,10000,0.8547,
