ratiocoverage,guard_number,map_type,map_size,map_density,
0.0197,1,maze,10000,0.9172,
0.0707,2,maze,10000,0.9172,
0.1428,3,maze,10000,0.9172,
0.2221,4,maze,10000,0.9172,
0.3648,5,maze,10000,0.9172,
0.4817,6,maze,10000,0.9172,
0.5764,7,maze,10000,0.9172,
0.6881,8,maze,10000,0.9172,
0.7434,9,maze,10000,0.9172,
0.799,10,maze,10000,0.9172,
0.0277,1,maze,10000,0.9173,
0.0692,2,maze,10000,0.9173,
0.1471,3,maze,10000,0.9173,
0.2293,4,maze,10000,0.9173,
0.3158,5,maze,10000,0.9173,
0.4184,6,maze,10000,0.9173,
0.4679,7,maze,10000,0.9173,
0.5863,8,maze,10000,0.9173,
0.6391,9,maze,10000,0.9173,
0.7257,10,maze,10000,0.9173,
0.0197,1,maze,10000,0.9173,
0.0716,2,maze,10000,0.9173,
0.1505,3,maze,10000,0.9173,
0.2285,4,maze,10000,0.9173,
0.3384,5,maze,10000,0.9173,
0.4547,6,maze,10000,0.9173,
0.532,7,maze,10000,0.9173,
0.6288,8,maze,10000,0.9173,
0.7288,9,maze,10000,0.9173,
0.7644,10,maze,10000,0.9173,
0.0275,1,maze,10000,0.9174,
0.0726,2,maze,10000,0.9174,
0.1389,3,maze,10000,0.9174,
0.2305,4,maze,10000,0.9174,
0.3111,5,maze,10000,0.9174,
0.4282,6,maze,10000,0.9174,
0.5227,7,maze,10000,0.9174,
0.6059,8,maze,10000,0.9174,
0.6954,9,maze,10000,0.9174,
0.7824,10,maze,10000,0.9174,
0.0282,1,maze,10000,0.9171,
0.0727,2,maze,10000,0.9171,
0.1352,3,maze,10000,0.9171,
0.2336,4,maze,10000,0.9171,
0.3499,5,maze,10000,0.9171,
0.4393,6,maze,10000,0.9171,
0.5322,7,maze,10000,0.9171,
0.5995,8,maze,10000,0.9171,
0.6755,9,maze,10000,0.9171,
0.7805,10,maze,10000,0.9171,
