ratiocoverage,guard_number,map_type,map_size,map_density,
0.0028,1,maze,10000,0.6037,
0.0194,2,maze,10000,0.6037,
0.048,3,maze,10000,0.6037,
0.0699,4,maze,10000,0.6037,
0.0897,5,maze,10000,0.6037,
0.1129,6,maze,10000,0.6037,
0.1395,7,maze,10000,0.6037,
0.1737,8,maze,10000,0.6037,
0.2128,9,maze,10000,0.6037,
0.2486,10,maze,10000,0.6037,
0.002,1,maze,10000,0.6055,
0.0095,2,maze,10000,0.6055,
0.0239,3,maze,10000,0.6055,
0.0437,4,maze,10000,0.6055,
0.0711,5,maze,10000,0.6055,
0.1142,6,maze,10000,0.6055,
0.1505,7,maze,10000,0.6055,
0.1771,8,maze,10000,0.6055,
0.2081,9,maze,10000,0.6055,
0.2398,10,maze,10000,0.6055,
0.006,1,maze,10000,0.6061,
0.0176,2,maze,10000,0.6061,
0.0381,3,maze,10000,0.6061,
0.0532,4,maze,10000,0.6061,
0.0766,5,maze,10000,0.6061,
0.1073,6,maze,10000,0.6061,
0.1415,7,maze,10000,0.6061,
0.1825,8,maze,10000,0.6061,
0.216,9,maze,10000,0.6061,
0.2571,10,maze,10000,0.6061,
0.0027,1,maze,10000,0.6032,
0.0103,2,maze,10000,0.6032,
0.0226,3,maze,10000,0.6032,
0.0462,4,maze,10000,0.6032,
0.0705,5,maze,10000,0.6032,
0.1107,6,maze,10000,0.6032,
0.1428,7,maze,10000,0.6032,
0.1652,8,maze,10000,0.6032,
0.2015,9,maze,10000,0.6032,
0.2463,10,maze,10000,0.6032,
0.0054,1,maze,10000,0.6036,
0.0137,2,maze,10000,0.6036,
0.0316,3,maze,10000,0.6036,
0.0476,4,maze,10000,0.6036,
0.0776,5,maze,10000,0.6036,
0.1075,6,maze,10000,0.6036,
0.1433,7,maze,10000,0.6036,
0.1766,8,maze,10000,0.6036,
0.2057,9,maze,10000,0.6036,
0.2545,10,maze,10000,0.6036,
