ratiocoverage,guard_number,map_type,map_size,map_density
0.2052,3,maze,10000,0
0.3162,4,maze,10000,0
0.4196,5,maze,10000,0
0.4719,6,maze,10000,0
0.5651,7,maze,10000,0
0.6346,8,maze,10000,0
0.7054,9,maze,10000,0
0.811,10,maze,10000,0
0.0356,1,maze,10000,0
0.0962,2,maze,10000,0
0.1694,3,maze,10000,0
0.2731,4,maze,10000,0
0.3657,5,maze,10000,0
0.4695,6,maze,10000,0
0.5841,7,maze,10000,0
0.6663,8,maze,10000,0
0.751,9,maze,10000,0
0.8419,10,maze,10000,0
0.0356,1,maze,10000,0
0.0869,2,maze,10000,0
0.1937,3,maze,10000,0
0.3245,4,maze,10000,0
0.4146,5,maze,10000,0
0.5225,6,maze,10000,0
0.6049,7,maze,10000,0
0.6893,8,maze,10000,0
0.7698,9,maze,10000,0
0.8188,10,maze,10000,0
0.0356,1,maze,10000,0
0.1053,2,maze,10000,0
0.1913,3,maze,10000,0
0.2742,4,maze,10000,0
0.3785,5,maze,10000,0
0.5113,6,maze,10000,0
0.6099,7,maze,10000,0
0.6918,8,maze,10000,0
0.7513,9,maze,10000,0
0.8155,10,maze,10000,0
0.0356,1,maze,10000,0
0.095,2,maze,10000,0
0.1664,3,maze,10000,0
0.2389,4,maze,10000,0
0.3684,5,maze,10000,0
0.4394,6,maze,10000,0
0.5671,7,maze,10000,0
0.6293,8,maze,10000,0
0.7609,9,maze,10000,0
0.8115,10,maze,10000,0
0.0223,1,maze,10000,0
0.0808,2,maze,10000,0
0.1612,3,maze,10000,0
0.261,4,maze,10000,0
0.3869,5,maze,10000,0
0.5201,6,maze,10000,0
0.5906,7,maze,10000,0
0.6513,8,maze,10000,0
0.7439,9,maze,10000,0
0.8106,10,maze,10000,0
0.0268,1,maze,10000,0
0.0965,2,maze,10000,0
0.2026,3,maze,10000,0
0.308,4,maze,10000,0
0.3755,5,maze,10000,0
0.5148,6,maze,10000,0
0.6084,7,maze,10000,0
0.6858,8,maze,10000,0
0.795,9,maze,10000,0
0.8568,10,maze,10000,0
0.0356,1,maze,10000,0
0.0936,2,maze,10000,0
0.1638,3,maze,10000,0
0.2797,4,maze,10000,0
0.3647,5,maze,10000,0
0.4544,6,maze,10000,0
0.5645,7,maze,10000,0
0.6919,8,maze,10000,0
0.7925,9,maze,10000,0
0.8692,10,maze,10000,0
0.0356,1,maze,10000,0
0.087,2,maze,10000,0
0.1742,3,maze,10000,0
0.3033,4,maze,10000,0
0.4185,5,maze,10000,0
0.4929,6,maze,10000,0
0.6177,7,maze,10000,0
0.6977,8,maze,10000,0
0.7591,9,maze,10000,0
0.8204,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.2008,3,maze,10000,0
0.3,4,maze,10000,0
0.4128,5,maze,10000,0
0.5393,6,maze,10000,0
0.6223,7,maze,10000,0
0.6908,8,maze,10000,0
0.7604,9,maze,10000,0
0.8322,10,maze,10000,0
0.0215,1,maze,10000,0
0.0899,2,maze,10000,0
0.1702,3,maze,10000,0
0.2992,4,maze,10000,0
0.4039,5,maze,10000,0
0.4796,6,maze,10000,0
0.6109,7,maze,10000,0
0.7303,8,maze,10000,0
0.8158,9,maze,10000,0
0.8471,10,maze,10000,0
0.0356,1,maze,10000,0
0.0933,2,maze,10000,0
0.1652,3,maze,10000,0
0.2615,4,maze,10000,0
0.3894,5,maze,10000,0
0.522,6,maze,10000,0
0.5951,7,maze,10000,0
0.7061,8,maze,10000,0
0.8155,9,maze,10000,0
0.8834,10,maze,10000,0
0.0356,1,maze,10000,0
0.1023,2,maze,10000,0
0.1775,3,maze,10000,0
0.2806,4,maze,10000,0
0.3898,5,maze,10000,0
0.5497,6,maze,10000,0
0.6742,7,maze,10000,0
0.7267,8,maze,10000,0
0.805,9,maze,10000,0
0.8426,10,maze,10000,0
0.0223,1,maze,10000,0
0.071,2,maze,10000,0
0.1671,3,maze,10000,0
0.257,4,maze,10000,0
0.3532,5,maze,10000,0
0.4599,6,maze,10000,0
0.5842,7,maze,10000,0
0.698,8,maze,10000,0
0.7454,9,maze,10000,0
0.8126,10,maze,10000,0
0.0268,1,maze,10000,0
0.0847,2,maze,10000,0
0.1739,3,maze,10000,0
0.2598,4,maze,10000,0
0.3786,5,maze,10000,0
0.4921,6,maze,10000,0
0.6034,7,maze,10000,0
0.7015,8,maze,10000,0
0.7572,9,maze,10000,0
0.8462,10,maze,10000,0
0.0356,1,maze,10000,0
0.104,2,maze,10000,0
0.1901,3,maze,10000,0
0.3004,4,maze,10000,0
0.3993,5,maze,10000,0
0.5171,6,maze,10000,0
0.6155,7,maze,10000,0
0.7063,8,maze,10000,0
0.7746,9,maze,10000,0
0.8562,10,maze,10000,0
0.0226,1,maze,10000,0
0.0689,2,maze,10000,0
0.1565,3,maze,10000,0
0.2605,4,maze,10000,0
0.3692,5,maze,10000,0
0.4741,6,maze,10000,0
0.6232,7,maze,10000,0
0.6955,8,maze,10000,0
0.8079,9,maze,10000,0
