ratiocoverage,guard_number,map_type,map_size,map_density,
0.6232,10,maze,10000,0.0,
0.7333,10,maze,10000,0.0,
0.8071,10,maze,10000,0.0,
0.0225,10,maze,10000,0.0,
0.0864,10,maze,10000,0.0,
0.1802,10,maze,10000,0.0,
0.2891,10,maze,10000,0.0,
0.3738,10,maze,10000,0.0,
0.5154,10,maze,10000,0.0,
0.5977,10,maze,10000,0.0,
0.6728,10,maze,10000,0.0,
0.7418,10,maze,10000,0.0,
0.7938,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0922,10,maze,10000,0.0,
0.1574,10,maze,10000,0.0,
0.2872,10,maze,10000,0.0,
0.3725,10,maze,10000,0.0,
0.4234,10,maze,10000,0.0,
0.5304,10,maze,10000,0.0,
0.6349,10,maze,10000,0.0,
0.7326,10,maze,10000,0.0,
0.8497,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0967,10,maze,10000,0.0,
0.1786,10,maze,10000,0.0,
0.2744,10,maze,10000,0.0,
0.4161,10,maze,10000,0.0,
0.5538,10,maze,10000,0.0,
0.6062,10,maze,10000,0.0,
0.7367,10,maze,10000,0.0,
0.8237,10,maze,10000,0.0,
0.8566,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2052,10,maze,10000,0.0,
0.3162,10,maze,10000,0.0,
0.4196,10,maze,10000,0.0,
0.4719,10,maze,10000,0.0,
0.5651,10,maze,10000,0.0,
0.6346,10,maze,10000,0.0,
0.7054,10,maze,10000,0.0,
0.811,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0962,10,maze,10000,0.0,
0.1694,10,maze,10000,0.0,
0.2731,10,maze,10000,0.0,
0.3657,10,maze,10000,0.0,
0.4695,10,maze,10000,0.0,
0.5841,10,maze,10000,0.0,
0.6663,10,maze,10000,0.0,
0.751,10,maze,10000,0.0,
0.8419,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0869,10,maze,10000,0.0,
0.1937,10,maze,10000,0.0,
0.3245,10,maze,10000,0.0,
0.4146,10,maze,10000,0.0,
0.5225,10,maze,10000,0.0,
0.6049,10,maze,10000,0.0,
0.6893,10,maze,10000,0.0,
0.7698,10,maze,10000,0.0,
0.8188,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1053,10,maze,10000,0.0,
0.1913,10,maze,10000,0.0,
0.2742,10,maze,10000,0.0,
0.3785,10,maze,10000,0.0,
0.5113,10,maze,10000,0.0,
0.6099,10,maze,10000,0.0,
0.6918,10,maze,10000,0.0,
0.7513,10,maze,10000,0.0,
0.8155,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.095,10,maze,10000,0.0,
0.1664,10,maze,10000,0.0,
0.2389,10,maze,10000,0.0,
0.3684,10,maze,10000,0.0,
0.4394,10,maze,10000,0.0,
0.5671,10,maze,10000,0.0,
0.6293,10,maze,10000,0.0,
0.7609,10,maze,10000,0.0,
0.8115,10,maze,10000,0.0,
0.0223,10,maze,10000,0.0,
0.0808,10,maze,10000,0.0,
0.1612,10,maze,10000,0.0,
0.261,10,maze,10000,0.0,
0.3869,10,maze,10000,0.0,
0.5201,10,maze,10000,0.0,
0.5906,10,maze,10000,0.0,
0.6513,10,maze,10000,0.0,
0.7439,10,maze,10000,0.0,
0.8106,10,maze,10000,0.0,
0.0268,10,maze,10000,0.0,
0.0965,10,maze,10000,0.0,
0.2026,10,maze,10000,0.0,
0.308,10,maze,10000,0.0,
0.3755,10,maze,10000,0.0,
0.5148,10,maze,10000,0.0,
0.6084,10,maze,10000,0.0,
0.6858,10,maze,10000,0.0,
0.795,10,maze,10000,0.0,
0.8568,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0936,10,maze,10000,0.0,
0.1638,10,maze,10000,0.0,
0.2797,10,maze,10000,0.0,
0.3647,10,maze,10000,0.0,
0.4544,10,maze,10000,0.0,
0.5645,10,maze,10000,0.0,
0.6919,10,maze,10000,0.0,
0.7925,10,maze,10000,0.0,
0.8692,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.087,10,maze,10000,0.0,
0.1742,10,maze,10000,0.0,
0.3033,10,maze,10000,0.0,
0.4185,10,maze,10000,0.0,
0.4929,10,maze,10000,0.0,
0.6177,10,maze,10000,0.0,
0.6977,10,maze,10000,0.0,
0.7591,10,maze,10000,0.0,
0.8204,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2008,10,maze,10000,0.0,
0.3,10,maze,10000,0.0,
0.4128,10,maze,10000,0.0,
0.5393,10,maze,10000,0.0,
0.6223,10,maze,10000,0.0,
0.6908,10,maze,10000,0.0,
0.7604,10,maze,10000,0.0,
0.8322,10,maze,10000,0.0,
0.0215,10,maze,10000,0.0,
0.0899,10,maze,10000,0.0,
0.1702,10,maze,10000,0.0,
0.2992,10,maze,10000,0.0,
0.4039,10,maze,10000,0.0,
0.4796,10,maze,10000,0.0,
0.6109,10,maze,10000,0.0,
0.7303,10,maze,10000,0.0,
0.8158,10,maze,10000,0.0,
0.8471,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0933,10,maze,10000,0.0,
0.1652,10,maze,10000,0.0,
0.2615,10,maze,10000,0.0,
0.3894,10,maze,10000,0.0,
0.522,10,maze,10000,0.0,
0.5951,10,maze,10000,0.0,
0.7061,10,maze,10000,0.0,
0.8155,10,maze,10000,0.0,
0.8834,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1023,10,maze,10000,0.0,
0.1775,10,maze,10000,0.0,
0.2806,10,maze,10000,0.0,
0.3898,10,maze,10000,0.0,
0.5497,10,maze,10000,0.0,
0.6742,10,maze,10000,0.0,
0.7267,10,maze,10000,0.0,
0.805,10,maze,10000,0.0,
0.8426,10,maze,10000,0.0,
0.0223,10,maze,10000,0.0,
0.071,10,maze,10000,0.0,
0.1671,10,maze,10000,0.0,
0.257,10,maze,10000,0.0,
0.3532,10,maze,10000,0.0,
0.4599,10,maze,10000,0.0,
0.5842,10,maze,10000,0.0,
0.698,10,maze,10000,0.0,
0.7454,10,maze,10000,0.0,
0.8126,10,maze,10000,0.0,
0.0268,10,maze,10000,0.0,
0.0847,10,maze,10000,0.0,
0.1739,10,maze,10000,0.0,
0.2598,10,maze,10000,0.0,
0.3786,10,maze,10000,0.0,
0.4921,10,maze,10000,0.0,
0.6034,10,maze,10000,0.0,
0.7015,10,maze,10000,0.0,
0.7572,10,maze,10000,0.0,
0.8462,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.104,10,maze,10000,0.0,
0.1901,10,maze,10000,0.0,
0.3004,10,maze,10000,0.0,
0.3993,10,maze,10000,0.0,
0.5171,10,maze,10000,0.0,
0.6155,10,maze,10000,0.0,
0.7063,10,maze,10000,0.0,
0.7746,10,maze,10000,0.0,
0.8562,10,maze,10000,0.0,
0.0226,10,maze,10000,0.0,
0.0689,10,maze,10000,0.0,
0.1565,10,maze,10000,0.0,
0.2605,10,maze,10000,0.0,
0.3692,10,maze,10000,0.0,
0.4741,10,maze,10000,0.0,
0.6232,10,maze,10000,0.0,
0.6955,10,maze,10000,0.0,
0.8079,10,maze,10000,0.0,
0.8488,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0989,10,maze,10000,0.0,
0.196,10,maze,10000,0.0,
0.2984,10,maze,10000,0.0,
0.3796,10,maze,10000,0.0,
0.4902,10,maze,10000,0.0,
0.5757,10,maze,10000,0.0,
0.6861,10,maze,10000,0.0,
0.7393,10,maze,10000,0.0,
0.8,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0907,10,maze,10000,0.0,
0.1789,10,maze,10000,0.0,
0.2728,10,maze,10000,0.0,
0.4033,10,maze,10000,0.0,
0.51,10,maze,10000,0.0,
0.642,10,maze,10000,0.0,
0.7413,10,maze,10000,0.0,
0.8144,10,maze,10000,0.0,
0.8501,10,maze,10000,0.0,
0.0343,10,maze,10000,0.0,
0.0819,10,maze,10000,0.0,
0.168,10,maze,10000,0.0,
0.2967,10,maze,10000,0.0,
0.3923,10,maze,10000,0.0,
0.5043,10,maze,10000,0.0,
0.5938,10,maze,10000,0.0,
0.728,10,maze,10000,0.0,
0.7854,10,maze,10000,0.0,
0.826,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0907,10,maze,10000,0.0,
0.1713,10,maze,10000,0.0,
0.2961,10,maze,10000,0.0,
0.4376,10,maze,10000,0.0,
0.5491,10,maze,10000,0.0,
0.6539,10,maze,10000,0.0,
0.74,10,maze,10000,0.0,
0.8084,10,maze,10000,0.0,
0.8682,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0913,10,maze,10000,0.0,
0.1723,10,maze,10000,0.0,
0.2535,10,maze,10000,0.0,
0.357,10,maze,10000,0.0,
0.4409,10,maze,10000,0.0,
0.5304,10,maze,10000,0.0,
0.6372,10,maze,10000,0.0,
0.7253,10,maze,10000,0.0,
0.7854,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0933,10,maze,10000,0.0,
0.196,10,maze,10000,0.0,
0.3022,10,maze,10000,0.0,
0.4013,10,maze,10000,0.0,
0.5234,10,maze,10000,0.0,
0.6312,10,maze,10000,0.0,
0.7012,10,maze,10000,0.0,
0.7903,10,maze,10000,0.0,
0.8408,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0823,10,maze,10000,0.0,
0.1863,10,maze,10000,0.0,
0.2879,10,maze,10000,0.0,
0.3365,10,maze,10000,0.0,
0.4845,10,maze,10000,0.0,
0.5958,10,maze,10000,0.0,
0.6826,10,maze,10000,0.0,
0.7648,10,maze,10000,0.0,
0.8096,10,maze,10000,0.0,
0.0226,10,maze,10000,0.0,
0.0938,10,maze,10000,0.0,
0.1784,10,maze,10000,0.0,
0.3032,10,maze,10000,0.0,
0.4222,10,maze,10000,0.0,
0.5012,10,maze,10000,0.0,
0.6092,10,maze,10000,0.0,
0.7059,10,maze,10000,0.0,
0.7719,10,maze,10000,0.0,
0.8442,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1847,10,maze,10000,0.0,
0.2837,10,maze,10000,0.0,
0.4213,10,maze,10000,0.0,
0.5454,10,maze,10000,0.0,
0.6504,10,maze,10000,0.0,
0.7126,10,maze,10000,0.0,
0.7831,10,maze,10000,0.0,
0.8494,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1055,10,maze,10000,0.0,
0.2095,10,maze,10000,0.0,
0.302,10,maze,10000,0.0,
0.3916,10,maze,10000,0.0,
0.5097,10,maze,10000,0.0,
0.583,10,maze,10000,0.0,
0.7022,10,maze,10000,0.0,
0.8053,10,maze,10000,0.0,
0.8825,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.104,10,maze,10000,0.0,
0.1917,10,maze,10000,0.0,
0.3174,10,maze,10000,0.0,
0.437,10,maze,10000,0.0,
0.5138,10,maze,10000,0.0,
0.5918,10,maze,10000,0.0,
0.6842,10,maze,10000,0.0,
0.7704,10,maze,10000,0.0,
0.8404,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1818,10,maze,10000,0.0,
0.2731,10,maze,10000,0.0,
0.3439,10,maze,10000,0.0,
0.4471,10,maze,10000,0.0,
0.5572,10,maze,10000,0.0,
0.6878,10,maze,10000,0.0,
0.7802,10,maze,10000,0.0,
0.8201,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2001,10,maze,10000,0.0,
0.3233,10,maze,10000,0.0,
0.4002,10,maze,10000,0.0,
0.5277,10,maze,10000,0.0,
0.5986,10,maze,10000,0.0,
0.662,10,maze,10000,0.0,
0.7714,10,maze,10000,0.0,
0.8193,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1046,10,maze,10000,0.0,
0.2114,10,maze,10000,0.0,
0.3109,10,maze,10000,0.0,
0.4172,10,maze,10000,0.0,
0.4995,10,maze,10000,0.0,
0.6075,10,maze,10000,0.0,
0.6656,10,maze,10000,0.0,
0.7375,10,maze,10000,0.0,
0.7962,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.1861,10,maze,10000,0.0,
0.3021,10,maze,10000,0.0,
0.3853,10,maze,10000,0.0,
0.5253,10,maze,10000,0.0,
0.5807,10,maze,10000,0.0,
0.6845,10,maze,10000,0.0,
0.7875,10,maze,10000,0.0,
0.8228,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.201,10,maze,10000,0.0,
0.3027,10,maze,10000,0.0,
0.4509,10,maze,10000,0.0,
0.5427,10,maze,10000,0.0,
0.6243,10,maze,10000,0.0,
0.7289,10,maze,10000,0.0,
0.8159,10,maze,10000,0.0,
0.8633,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1892,10,maze,10000,0.0,
0.2716,10,maze,10000,0.0,
0.3734,10,maze,10000,0.0,
0.5163,10,maze,10000,0.0,
0.569,10,maze,10000,0.0,
0.6321,10,maze,10000,0.0,
0.7283,10,maze,10000,0.0,
0.811,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.1979,10,maze,10000,0.0,
0.2985,10,maze,10000,0.0,
0.4308,10,maze,10000,0.0,
0.5205,10,maze,10000,0.0,
0.6091,10,maze,10000,0.0,
0.6971,10,maze,10000,0.0,
0.7563,10,maze,10000,0.0,
0.8168,10,maze,10000,0.0,
0.0224,10,maze,10000,0.0,
0.0908,10,maze,10000,0.0,
0.169,10,maze,10000,0.0,
0.2923,10,maze,10000,0.0,
0.4362,10,maze,10000,0.0,
0.5129,10,maze,10000,0.0,
0.6077,10,maze,10000,0.0,
0.7021,10,maze,10000,0.0,
0.7542,10,maze,10000,0.0,
0.818,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0869,10,maze,10000,0.0,
0.1901,10,maze,10000,0.0,
0.2834,10,maze,10000,0.0,
0.3696,10,maze,10000,0.0,
0.4843,10,maze,10000,0.0,
0.5752,10,maze,10000,0.0,
0.6159,10,maze,10000,0.0,
0.7452,10,maze,10000,0.0,
0.8001,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0802,10,maze,10000,0.0,
0.1738,10,maze,10000,0.0,
0.2654,10,maze,10000,0.0,
0.3764,10,maze,10000,0.0,
0.4834,10,maze,10000,0.0,
0.6306,10,maze,10000,0.0,
0.7166,10,maze,10000,0.0,
0.7752,10,maze,10000,0.0,
0.8349,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2063,10,maze,10000,0.0,
0.3236,10,maze,10000,0.0,
0.4698,10,maze,10000,0.0,
0.5562,10,maze,10000,0.0,
0.6799,10,maze,10000,0.0,
0.7469,10,maze,10000,0.0,
0.8306,10,maze,10000,0.0,
0.8664,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1068,10,maze,10000,0.0,
0.2064,10,maze,10000,0.0,
0.2949,10,maze,10000,0.0,
0.4022,10,maze,10000,0.0,
0.4902,10,maze,10000,0.0,
0.6078,10,maze,10000,0.0,
0.7298,10,maze,10000,0.0,
0.8,10,maze,10000,0.0,
0.872,10,maze,10000,0.0,
0.0343,10,maze,10000,0.0,
0.0792,10,maze,10000,0.0,
0.183,10,maze,10000,0.0,
0.2715,10,maze,10000,0.0,
0.381,10,maze,10000,0.0,
0.4971,10,maze,10000,0.0,
0.6196,10,maze,10000,0.0,
0.743,10,maze,10000,0.0,
0.8107,10,maze,10000,0.0,
0.8235,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0892,10,maze,10000,0.0,
0.1826,10,maze,10000,0.0,
0.2907,10,maze,10000,0.0,
0.3779,10,maze,10000,0.0,
0.4931,10,maze,10000,0.0,
0.6351,10,maze,10000,0.0,
0.7266,10,maze,10000,0.0,
0.8101,10,maze,10000,0.0,
0.8609,10,maze,10000,0.0,
0.029,10,maze,10000,0.0,
0.0958,10,maze,10000,0.0,
0.1822,10,maze,10000,0.0,
0.2898,10,maze,10000,0.0,
0.41,10,maze,10000,0.0,
0.4865,10,maze,10000,0.0,
0.5745,10,maze,10000,0.0,
0.6167,10,maze,10000,0.0,
0.7175,10,maze,10000,0.0,
0.865,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.104,10,maze,10000,0.0,
0.1877,10,maze,10000,0.0,
0.2749,10,maze,10000,0.0,
0.3919,10,maze,10000,0.0,
0.4936,10,maze,10000,0.0,
0.6142,10,maze,10000,0.0,
0.7439,10,maze,10000,0.0,
0.7998,10,maze,10000,0.0,
0.8791,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0862,10,maze,10000,0.0,
0.1862,10,maze,10000,0.0,
0.309,10,maze,10000,0.0,
0.3932,10,maze,10000,0.0,
0.508,10,maze,10000,0.0,
0.6561,10,maze,10000,0.0,
0.7223,10,maze,10000,0.0,
0.8302,10,maze,10000,0.0,
0.8622,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1021,10,maze,10000,0.0,
0.1828,10,maze,10000,0.0,
0.2968,10,maze,10000,0.0,
0.3864,10,maze,10000,0.0,
0.4787,10,maze,10000,0.0,
0.5784,10,maze,10000,0.0,
0.6765,10,maze,10000,0.0,
0.7531,10,maze,10000,0.0,
0.7955,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1962,10,maze,10000,0.0,
0.2993,10,maze,10000,0.0,
0.4128,10,maze,10000,0.0,
0.5485,10,maze,10000,0.0,
0.6384,10,maze,10000,0.0,
0.7072,10,maze,10000,0.0,
0.7458,10,maze,10000,0.0,
0.835,10,maze,10000,0.0,
0.0226,10,maze,10000,0.0,
0.0938,10,maze,10000,0.0,
0.175,10,maze,10000,0.0,
0.2646,10,maze,10000,0.0,
0.3773,10,maze,10000,0.0,
0.4716,10,maze,10000,0.0,
0.5671,10,maze,10000,0.0,
0.6325,10,maze,10000,0.0,
0.7236,10,maze,10000,0.0,
0.7738,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1012,10,maze,10000,0.0,
0.1797,10,maze,10000,0.0,
0.2675,10,maze,10000,0.0,
0.3663,10,maze,10000,0.0,
0.5239,10,maze,10000,0.0,
0.6144,10,maze,10000,0.0,
0.7182,10,maze,10000,0.0,
0.7843,10,maze,10000,0.0,
0.8731,10,maze,10000,0.0,
0.0223,10,maze,10000,0.0,
0.0935,10,maze,10000,0.0,
0.1768,10,maze,10000,0.0,
0.2667,10,maze,10000,0.0,
0.3287,10,maze,10000,0.0,
0.4483,10,maze,10000,0.0,
0.5634,10,maze,10000,0.0,
0.6309,10,maze,10000,0.0,
0.7453,10,maze,10000,0.0,
0.8132,10,maze,10000,0.0,
0.0311,10,maze,10000,0.0,
0.089,10,maze,10000,0.0,
0.181,10,maze,10000,0.0,
0.3005,10,maze,10000,0.0,
0.3582,10,maze,10000,0.0,
0.4922,10,maze,10000,0.0,
0.6313,10,maze,10000,0.0,
0.7353,10,maze,10000,0.0,
0.8015,10,maze,10000,0.0,
0.8448,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0815,10,maze,10000,0.0,
0.1358,10,maze,10000,0.0,
0.2376,10,maze,10000,0.0,
0.3256,10,maze,10000,0.0,
0.462,10,maze,10000,0.0,
0.6174,10,maze,10000,0.0,
0.7216,10,maze,10000,0.0,
0.8004,10,maze,10000,0.0,
0.8871,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1063,10,maze,10000,0.0,
0.2059,10,maze,10000,0.0,
0.2916,10,maze,10000,0.0,
0.4018,10,maze,10000,0.0,
0.4917,10,maze,10000,0.0,
0.6077,10,maze,10000,0.0,
0.6756,10,maze,10000,0.0,
0.724,10,maze,10000,0.0,
0.7695,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.0838,10,maze,10000,0.0,
0.169,10,maze,10000,0.0,
0.2981,10,maze,10000,0.0,
0.3875,10,maze,10000,0.0,
0.4871,10,maze,10000,0.0,
0.601,10,maze,10000,0.0,
0.6658,10,maze,10000,0.0,
0.7504,10,maze,10000,0.0,
0.8019,10,maze,10000,0.0,
0.0311,10,maze,10000,0.0,
0.0721,10,maze,10000,0.0,
0.1631,10,maze,10000,0.0,
0.2691,10,maze,10000,0.0,
0.3905,10,maze,10000,0.0,
0.4985,10,maze,10000,0.0,
0.6085,10,maze,10000,0.0,
0.6909,10,maze,10000,0.0,
0.7503,10,maze,10000,0.0,
0.8065,10,maze,10000,0.0,
0.0356,10,maze,10000,0.0,
0.1002,10,maze,10000,0.0,
0.1928,10,maze,10000,0.0,
0.3097,10,maze,10000,0.0,
0.4381,10,maze,10000,0.0,
0.5665,10,maze,10000,0.0,
0.6375,10,maze,10000,0.0,
0.7196,10,maze,10000,0.0,
0.8116,10,maze,10000,0.0,
0.8589,10,maze,10000,0.0,
