ratiocoverage,guard_number,map_type,map_size,map_density,
0.0014,1,maze,10000,0.3562,
0.0037,2,maze,10000,0.3562,
0.0085,3,maze,10000,0.3562,
0.0137,4,maze,10000,0.3562,
0.0234,5,maze,10000,0.3562,
0.0352,6,maze,10000,0.3562,
0.0491,7,maze,10000,0.3562,
0.0637,8,maze,10000,0.3562,
0.0769,9,maze,10000,0.3562,
0.0922,10,maze,10000,0.3562,
0.0199,1,maze,10000,0.7923,
0.0424,2,maze,10000,0.7923,
0.0808,3,maze,10000,0.7923,
0.136,4,maze,10000,0.7923,
0.2031,5,maze,10000,0.7923,
0.2941,6,maze,10000,0.7923,
0.3654,7,maze,10000,0.7923,
0.4412,8,maze,10000,0.7923,
0.4999,9,maze,10000,0.7923,
0.5626,10,maze,10000,0.7923,
0.0187,1,maze,10000,0.7927,
0.044,2,maze,10000,0.7927,
0.0908,3,maze,10000,0.7927,
0.1471,4,maze,10000,0.7927,
0.2017,5,maze,10000,0.7927,
0.2739,6,maze,10000,0.7927,
0.3454,7,maze,10000,0.7927,
0.42,8,maze,10000,0.7927,
0.5022,9,maze,10000,0.7927,
0.5581,10,maze,10000,0.7927,
0.0118,1,maze,10000,0.7927,
0.0414,2,maze,10000,0.7927,
0.0792,3,maze,10000,0.7927,
0.1302,4,maze,10000,0.7927,
0.1952,5,maze,10000,0.7927,
0.2618,6,maze,10000,0.7927,
0.3379,7,maze,10000,0.7927,
0.4242,8,maze,10000,0.7927,
0.498,9,maze,10000,0.7927,
0.5455,10,maze,10000,0.7927,
0.0125,1,maze,10000,0.7922,
0.0517,2,maze,10000,0.7922,
0.0882,3,maze,10000,0.7922,
0.1348,4,maze,10000,0.7922,
0.1975,5,maze,10000,0.7922,
0.2357,6,maze,10000,0.7922,
0.3044,7,maze,10000,0.7922,
0.3662,8,maze,10000,0.7922,
0.4595,9,maze,10000,0.7922,
0.5365,10,maze,10000,0.7922,
