ratiocoverage,guard_number,map_type,map_size,map_density,
0.0022,1,maze,10000,0.3562,
0.0059,2,maze,10000,0.3562,
0.0111,3,maze,10000,0.3562,
0.0205,4,maze,10000,0.3562,
0.0288,5,maze,10000,0.3562,
0.0383,6,maze,10000,0.3562,
0.0473,7,maze,10000,0.3562,
0.0611,8,maze,10000,0.3562,
0.0786,9,maze,10000,0.3562,
0.0976,10,maze,10000,0.3562,
0.0023,1,maze,10000,0.3551,
0.0049,2,maze,10000,0.3551,
0.0089,3,maze,10000,0.3551,
0.0145,4,maze,10000,0.3551,
0.0222,5,maze,10000,0.3551,
0.0335,6,maze,10000,0.3551,
0.0442,7,maze,10000,0.3551,
0.0564,8,maze,10000,0.3551,
0.0665,9,maze,10000,0.3551,
0.0838,10,maze,10000,0.3551,
0.0011,1,maze,10000,0.3554,
0.0057,2,maze,10000,0.3554,
0.0126,3,maze,10000,0.3554,
0.0189,4,maze,10000,0.3554,
0.0288,5,maze,10000,0.3554,
0.0406,6,maze,10000,0.3554,
0.0491,7,maze,10000,0.3554,
0.0616,8,maze,10000,0.3554,
0.0714,9,maze,10000,0.3554,
0.0862,10,maze,10000,0.3554,
0.0019,1,maze,10000,0.3566,
0.0051,2,maze,10000,0.3566,
0.0126,3,maze,10000,0.3566,
0.0173,4,maze,10000,0.3566,
0.0275,5,maze,10000,0.3566,
0.0357,6,maze,10000,0.3566,
0.0499,7,maze,10000,0.3566,
0.0671,8,maze,10000,0.3566,
0.0799,9,maze,10000,0.3566,
0.0948,10,maze,10000,0.3566,
0.0026,1,maze,10000,0.3568,
0.0058,2,maze,10000,0.3568,
0.0129,3,maze,10000,0.3568,
0.0183,4,maze,10000,0.3568,
0.0295,5,maze,10000,0.3568,
0.0404,6,maze,10000,0.3568,
0.0495,7,maze,10000,0.3568,
0.0668,8,maze,10000,0.3568,
0.0835,9,maze,10000,0.3568,
0.1027,10,maze,10000,0.3568,
