ratioexplored,guard_number,map_type,map_size,map_density,moves
0.1153,15,maze,10000,0.7607,50
0.1487,15,maze,10000,0.7607,60
0.187,15,maze,10000,0.7607,70
0.2348,15,maze,10000,0.7607,80
0.2834,15,maze,10000,0.7607,90
0.0082,16,maze,10000,0.7612,10
0.024,16,maze,10000,0.7612,20
0.0496,16,maze,10000,0.7612,30
0.0893,16,maze,10000,0.7612,40
0.1259,16,maze,10000,0.7612,50
0.1669,16,maze,10000,0.7612,60
0.212,16,maze,10000,0.7612,70
0.2669,16,maze,10000,0.7612,80
0.311,16,maze,10000,0.7612,90
0.0084,17,maze,10000,0.7606,10
0.0247,17,maze,10000,0.7606,20
0.0499,17,maze,10000,0.7606,30
0.0813,17,maze,10000,0.7606,40
0.1085,17,maze,10000,0.7606,50
0.1508,17,maze,10000,0.7606,60
0.2031,17,maze,10000,0.7606,70
0.2567,17,maze,10000,0.7606,80
0.2939,17,maze,10000,0.7606,90
0.0096,18,maze,10000,0.7596,10
0.0235,18,maze,10000,0.7596,20
0.0529,18,maze,10000,0.7596,30
0.0769,18,maze,10000,0.7596,40
0.1041,18,maze,10000,0.7596,50
0.1364,18,maze,10000,0.7596,60
0.1822,18,maze,10000,0.7596,70
0.2179,18,maze,10000,0.7596,80
0.2652,18,maze,10000,0.7596,90
0.0091,19,maze,10000,0.761,10
0.0239,19,maze,10000,0.761,20
0.0501,19,maze,10000,0.761,30
0.0863,19,maze,10000,0.761,40
0.1272,19,maze,10000,0.761,50
0.1702,19,maze,10000,0.761,60
0.2019,19,maze,10000,0.761,70
0.2424,19,maze,10000,0.761,80
0.2906,19,maze,10000,0.761,90
0.0726,0,maze,10000,0.7609,100
0.1615,0,maze,10000,0.7609,150
0.265,0,maze,10000,0.7609,200
0.3839,0,maze,10000,0.7609,250
0.4878,0,maze,10000,0.7609,300
0.5653,0,maze,10000,0.7609,350
0.6686,0,maze,10000,0.7609,400
0.7929,0,maze,10000,0.7609,450
0.0876,1,maze,10000,0.7603,100
0.2062,1,maze,10000,0.7603,150
0.3075,1,maze,10000,0.7603,200
0.4277,1,maze,10000,0.7603,250
0.5476,1,maze,10000,0.7603,300
0.6438,1,maze,10000,0.7603,350
0.7404,1,maze,10000,0.7603,400
0.8077,1,maze,10000,0.7603,450
0.0589,2,maze,10000,0.761,100
0.1532,2,maze,10000,0.761,150
0.2646,2,maze,10000,0.761,200
0.3713,2,maze,10000,0.761,250
0.483,2,maze,10000,0.761,300
0.612,2,maze,10000,0.761,350
0.68,2,maze,10000,0.761,400
0.7733,2,maze,10000,0.761,450
0.0696,3,maze,10000,0.7609,100
0.1487,3,maze,10000,0.7609,150
0.2911,3,maze,10000,0.7609,200
0.4114,3,maze,10000,0.7609,250
0.5111,3,maze,10000,0.7609,300
0.6118,3,maze,10000,0.7609,350
0.7243,3,maze,10000,0.7609,400
0.781,3,maze,10000,0.7609,450
0.0732,4,maze,10000,0.7618,100
0.172,4,maze,10000,0.7618,150
0.2835,4,maze,10000,0.7618,200
0.3756,4,maze,10000,0.7618,250
0.4963,4,maze,10000,0.7618,300
0.6149,4,maze,10000,0.7618,350
0.711,4,maze,10000,0.7618,400
0.8052,4,maze,10000,0.7618,450
0.0604,5,maze,10000,0.7611,100
0.1602,5,maze,10000,0.7611,150
0.3092,5,maze,10000,0.7611,200
0.4186,5,maze,10000,0.7611,250
0.5393,5,maze,10000,0.7611,300
0.5984,5,maze,10000,0.7611,350
0.6973,5,maze,10000,0.7611,400
0.7864,5,maze,10000,0.7611,450
0.0731,6,maze,10000,0.7613,100
0.1637,6,maze,10000,0.7613,150
0.3233,6,maze,10000,0.7613,200
0.4237,6,maze,10000,0.7613,250
0.5143,6,maze,10000,0.7613,300
0.5947,6,maze,10000,0.7613,350
0.6688,6,maze,10000,0.7613,400
0.736,6,maze,10000,0.7613,450
0.054,7,maze,10000,0.7607,100
0.1505,7,maze,10000,0.7607,150
