
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
8.909465E7,112.0,1052897.0,112.0,0.5,
1.14912577E8,119.0,893823.0,134.0,0.5,
8.897278E7,114.0,475936.0,116.0,0.5,
1.07231534E8,119.0,203652.0,123.0,0.5,
1.06870733E8,113.0,204935.0,116.0,0.5,
1.06719036E8,114.0,183767.0,122.0,0.5,
1.45252538E8,116.0,173825.0,118.0,0.5,
8.8775542E7,116.0,139189.0,119.0,0.5,
1.00737124E8,114.0,204935.0,120.0,0.5,
8.2461051E7,112.0,161959.0,121.0,0.5,
8.8211411E7,117.0,184729.0,125.0,0.5,
8.8825252E7,114.0,149452.0,116.0,0.5,
9.8147057E7,114.0,169977.0,117.0,0.5,
8.3470331E7,114.0,146245.0,117.0,0.5,
9.2331914E7,109.0,217122.0,143.0,0.5,
9.0676721E7,114.0,133416.0,122.0,0.5,
1.22515687E8,114.0,159394.0,120.0,0.5,
8.6542748E7,114.0,150413.0,118.0,0.5,
9.5150968E7,113.0,137585.0,112.0,0.5,
1.37622167E8,117.0,168694.0,128.0,0.5,
9.9119775E7,117.0,154903.0,121.0,0.5,
9.926634E7,112.0,210066.0,125.0,0.5,
8.3368344E7,110.0,150735.0,113.0,0.5,
1.03792543E8,115.0,160676.0,120.0,0.5,
1.03499734E8,115.0,159073.0,117.0,0.5,
8.5873102E7,113.0,157470.0,120.0,0.5,
1.09294993E8,116.0,146566.0,121.0,0.5,
8.6536013E7,112.0,148489.0,112.0,0.5,
1.06321996E8,113.0,168053.0,113.0,0.5,
8.5546617E7,112.0,446431.0,113.0,0.5,
7.9649372E7,112.0,187296.0,130.0,0.5,
9.1545849E7,111.0,170619.0,117.0,0.5,
1.35236714E8,118.0,153942.0,114.0,0.5,
9.7353295E7,112.0,123474.0,112.0,0.5,
8.6709518E7,108.0,152979.0,109.0,0.5,
1.15983113E8,116.0,163563.0,126.0,0.5,
9.9376665E7,116.0,162280.0,117.0,0.5,
8.2589336E7,112.0,135340.0,113.0,0.5,
9.6803275E7,115.0,141434.0,120.0,0.5,
8.4545356E7,113.0,154583.0,113.0,0.5,
9.9073271E7,112.0,149452.0,118.0,0.5,
1.62640239E8,115.0,200124.0,145.0,0.5,
8.7371146E7,112.0,129567.0,113.0,0.5,
1.07949928E8,115.0,158432.0,141.0,0.5,
1.03250862E8,117.0,454127.0,128.0,0.5,
8.1673704E7,112.0,139188.0,127.0,0.5,
1.03019308E8,115.0,142075.0,126.0,0.5,
7.5715523E7,113.0,135982.0,120.0,0.5,
1.0140677E8,116.0,145282.0,119.0,0.5,
9.470101E7,116.0,137906.0,125.0,0.5,
1.10948902E8,115.0,172222.0,118.0,0.5,
8.4879859E7,114.0,131171.0,114.0,0.5,
8.6502338E7,111.0,392231.0,123.0,0.5,
9.7280173E7,115.0,137906.0,117.0,0.5,
8.7705007E7,112.0,162922.0,116.0,0.5,
8.8406724E7,111.0,147207.0,117.0,0.5,
7.7315233E7,111.0,140151.0,115.0,0.5,
1.06429114E8,120.0,163563.0,125.0,0.5,
9.6597057E7,115.0,169335.0,119.0,0.5,
8.5112374E7,113.0,175750.0,120.0,0.5,
1.14522271E8,117.0,163242.0,117.0,0.5,
9.1204933E7,115.0,147207.0,119.0,0.5,
9.9752219E7,115.0,434565.0,118.0,0.5,
9.2873274E7,115.0,169015.0,119.0,0.5,
9.6010475E7,113.0,157470.0,120.0,0.5,
8.2118211E7,112.0,134057.0,112.0,0.5,
9.1672851E7,113.0,137585.0,112.0,0.5,
8.0599641E7,109.0,171581.0,110.0,0.5,
1.00229117E8,114.0,153621.0,121.0,0.5,
7.9865853E7,110.0,185051.0,116.0,0.5,
1.14353256E8,115.0,162601.0,119.0,0.5,
1.09948923E8,115.0,151376.0,120.0,0.5,
8.961292E7,114.0,147206.0,114.0,0.5,
9.8501443E7,116.0,183768.0,124.0,0.5,
9.9927327E7,115.0,159394.0,124.0,0.5,
8.5829486E7,112.0,132454.0,115.0,0.5,
8.8624487E7,113.0,141433.0,114.0,0.5,
8.3754481E7,113.0,127323.0,117.0,0.5,
9.3431313E7,112.0,172543.0,118.0,0.5,
9.8705736E7,114.0,201407.0,126.0,0.5,
1.12161192E8,115.0,164525.0,129.0,0.5,
1.04815292E8,116.0,163883.0,114.0,0.5,
9.0461524E7,114.0,152980.0,117.0,0.5,
8.5715312E7,111.0,167732.0,119.0,0.5,
8.5042779E7,115.0,153300.0,120.0,0.5,
1.26793339E8,116.0,457655.0,130.0,0.5,
9.6406555E7,115.0,156187.0,127.0,0.5,
8.5330137E7,110.0,144962.0,114.0,0.5,
8.0631391E7,113.0,132134.0,121.0,0.5,
8.8813386E7,115.0,177675.0,143.0,0.5,
1.04827479E8,115.0,420453.0,116.0,0.5,
8.1350106E7,110.0,128926.0,113.0,0.5,
9.1507685E7,113.0,161318.0,116.0,0.5,
9.7420645E7,115.0,130530.0,115.0,0.5,
8.2597032E7,114.0,152338.0,116.0,0.5,
7.8908528E7,109.0,129568.0,111.0,0.5,
1.20522465E8,116.0,209104.0,123.0,0.5,
8.1376083E7,111.0,126681.0,113.0,0.5,
9.2841204E7,112.0,143999.0,116.0,0.5,
1.00778817E8,117.0,166129.0,120.0,0.5,
