
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
1.18258561E8,108.0,1047765.0,106.0,0.3,
1.02603024E8,105.0,837378.0,107.0,0.3,
9.7947895E7,104.0,220649.0,104.0,0.3,
1.06821985E8,106.0,149772.0,109.0,0.3,
1.09627571E8,111.0,153941.0,113.0,0.3,
1.08621177E8,108.0,177033.0,106.0,0.3,
9.5558593E7,106.0,129247.0,106.0,0.3,
8.9985587E7,104.0,151055.0,106.0,0.3,
1.05741828E8,107.0,451562.0,107.0,0.3,
9.2693997E7,104.0,175429.0,106.0,0.3,
9.963612E7,106.0,173184.0,107.0,0.3,
8.9584697E7,108.0,144961.0,110.0,0.3,
9.6661199E7,105.0,148169.0,109.0,0.3,
1.05591415E8,106.0,155545.0,109.0,0.3,
9.177131E7,103.0,129246.0,104.0,0.3,
1.03905434E8,105.0,159714.0,106.0,0.3,
9.5299138E7,106.0,121229.0,108.0,0.3,
1.22472712E8,106.0,160035.0,108.0,0.3,
1.00888179E8,110.0,145924.0,114.0,0.3,
9.0866261E7,101.0,146244.0,104.0,0.3,
1.11429649E8,107.0,153300.0,109.0,0.3,
9.0824569E7,106.0,132454.0,106.0,0.3,
9.4365225E7,105.0,130529.0,106.0,0.3,
9.7449509E7,107.0,170619.0,107.0,0.3,
1.11174362E8,106.0,180561.0,113.0,0.3,
9.6256782E7,104.0,195634.0,105.0,0.3,
1.0392179E8,109.0,166129.0,110.0,0.3,
9.9006243E7,103.0,142396.0,107.0,0.3,
9.1204933E7,103.0,140151.0,103.0,0.3,
9.3311367E7,107.0,127322.0,108.0,0.3,
9.1650401E7,103.0,147528.0,104.0,0.3,
9.5831198E7,104.0,142396.0,104.0,0.3,
9.4743024E7,108.0,174787.0,110.0,0.3,
9.5799768E7,105.0,144000.0,107.0,0.3,
1.05761391E8,109.0,141755.0,110.0,0.3,
1.07235382E8,105.0,164846.0,107.0,0.3,
9.955466E7,108.0,180560.0,108.0,0.3,
1.13206071E8,109.0,377157.0,107.0,0.3,
9.395728E7,104.0,141113.0,105.0,0.3,
9.3722519E7,107.0,170939.0,107.0,0.3,
9.0344463E7,103.0,148810.0,105.0,0.3,
9.1944173E7,103.0,141113.0,104.0,0.3,
9.8697077E7,107.0,143679.0,109.0,0.3,
1.02918925E8,108.0,135661.0,107.0,0.3,
1.00737765E8,106.0,149451.0,106.0,0.3,
9.2698166E7,104.0,117381.0,104.0,0.3,
9.5613114E7,106.0,174467.0,106.0,0.3,
9.4420388E7,106.0,115456.0,107.0,0.3,
9.552107E7,108.0,154583.0,107.0,0.3,
9.0917575E7,105.0,131813.0,105.0,0.3,
9.2811377E7,103.0,150735.0,104.0,0.3,
9.9535418E7,106.0,156828.0,107.0,0.3,
9.9924441E7,104.0,193069.0,104.0,0.3,
9.8505933E7,105.0,177032.0,106.0,0.3,
9.8476748E7,109.0,359197.0,107.0,0.3,
9.4197493E7,107.0,142075.0,107.0,0.3,
1.28241993E8,108.0,165167.0,113.0,0.3,
1.03137009E8,108.0,172543.0,109.0,0.3,
1.01412863E8,108.0,168053.0,109.0,0.3,
9.3346324E7,104.0,349576.0,106.0,0.3,
9.5690085E7,104.0,166770.0,112.0,0.3,
1.14111118E8,111.0,162601.0,109.0,0.3,
1.01386565E8,108.0,147527.0,107.0,0.3,
1.01243848E8,105.0,158111.0,109.0,0.3,
9.3633361E7,106.0,118984.0,106.0,0.3,
8.8989457E7,106.0,135661.0,107.0,0.3,
9.8127814E7,107.0,420133.0,110.0,0.3,
9.8595091E7,107.0,146566.0,108.0,0.3,
9.8531269E7,108.0,201728.0,109.0,0.3,
9.8056937E7,106.0,144641.0,109.0,0.3,
9.0696605E7,106.0,124756.0,107.0,0.3,
9.4831219E7,106.0,170298.0,106.0,0.3,
1.08911422E8,105.0,144641.0,106.0,0.3,
1.00578692E8,106.0,191144.0,107.0,0.3,
1.02600137E8,108.0,170618.0,109.0,0.3,
8.9554872E7,105.0,136623.0,105.0,0.3,
1.00504928E8,106.0,146886.0,106.0,0.3,
9.3949904E7,102.0,146244.0,104.0,0.3,
9.5099013E7,104.0,144962.0,104.0,0.3,
1.09104169E8,109.0,165167.0,109.0,0.3,
1.15005583E8,110.0,150735.0,110.0,0.3,
9.5509203E7,106.0,359518.0,109.0,0.3,
9.4927754E7,104.0,148810.0,108.0,0.3,
1.20324907E8,107.0,163242.0,107.0,0.3,
9.9368006E7,104.0,192107.0,107.0,0.3,
9.7758674E7,106.0,135661.0,110.0,0.3,
9.9820851E7,105.0,163243.0,102.0,0.3,
9.2906629E7,106.0,394476.0,109.0,0.3,
9.7535138E7,103.0,128926.0,104.0,0.3,
1.01060722E8,104.0,148169.0,105.0,0.3,
1.07131151E8,108.0,383892.0,108.0,0.3,
1.01054307E8,107.0,149772.0,109.0,0.3,
9.6438947E7,105.0,142396.0,105.0,0.3,
9.1093645E7,104.0,138227.0,104.0,0.3,
9.7962968E7,105.0,135982.0,106.0,0.3,
9.8432489E7,107.0,131171.0,107.0,0.3,
1.00827565E8,106.0,164525.0,106.0,0.3,
1.10971352E8,106.0,139510.0,110.0,0.3,
1.00147014E8,106.0,195955.0,107.0,0.3,
9.9047295E7,105.0,148811.0,105.0,0.3,
