
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
1.22083369E8,99.0,1018580.0,99.0,0.1,
1.09868746E8,99.0,808514.0,99.0,0.1,
1.12341112E8,101.0,262021.0,101.0,0.1,
1.06153943E8,98.0,127322.0,98.0,0.1,
1.03648864E8,98.0,135982.0,98.0,0.1,
1.10436406E8,101.0,152659.0,101.0,0.1,
1.10656093E8,101.0,172222.0,101.0,0.1,
1.07255588E8,98.0,151696.0,98.0,0.1,
1.14150567E8,101.0,150093.0,102.0,0.1,
1.08240172E8,100.0,145282.0,100.0,0.1,
1.12537067E8,101.0,154583.0,101.0,0.1,
1.09896968E8,100.0,177033.0,101.0,0.1,
1.10119543E8,99.0,148489.0,99.0,0.1,
1.10431595E8,99.0,133416.0,99.0,0.1,
1.11275387E8,100.0,135019.0,100.0,0.1,
1.12938918E8,102.0,183126.0,101.0,0.1,
1.11617907E8,100.0,144641.0,100.0,0.1,
1.11659599E8,100.0,127322.0,100.0,0.1,
1.06618654E8,98.0,132775.0,98.0,0.1,
1.07908877E8,100.0,143037.0,100.0,0.1,
1.09521415E8,100.0,165167.0,101.0,0.1,
1.07836076E8,98.0,151376.0,98.0,0.1,
1.10341154E8,100.0,158111.0,101.0,0.1,
1.08087192E8,99.0,158752.0,99.0,0.1,
1.08376154E8,99.0,146886.0,99.0,0.1,
1.07898614E8,100.0,149131.0,100.0,0.1,
1.07640762E8,100.0,149131.0,100.0,0.1,
1.03100448E8,99.0,198200.0,99.0,0.1,
1.04706892E8,98.0,174467.0,98.0,0.1,
1.05659726E8,99.0,147207.0,99.0,0.1,
1.07064764E8,100.0,151376.0,100.0,0.1,
1.09127581E8,99.0,444507.0,99.0,0.1,
1.07344424E8,99.0,139188.0,99.0,0.1,
1.12193263E8,100.0,159073.0,100.0,0.1,
1.07440959E8,100.0,131813.0,100.0,0.1,
1.06011546E8,99.0,170619.0,100.0,0.1,
1.13197091E8,101.0,138226.0,102.0,0.1,
1.09520132E8,99.0,139830.0,99.0,0.1,
1.13381179E8,102.0,137585.0,102.0,0.1,
1.08418167E8,100.0,164525.0,101.0,0.1,
1.10161876E8,100.0,165487.0,100.0,0.1,
1.1011441E8,99.0,166128.0,99.0,0.1,
1.09678563E8,100.0,168052.0,100.0,0.1,
1.10727611E8,99.0,149131.0,99.0,0.1,
1.08837016E8,101.0,132133.0,101.0,0.1,
1.0744192E8,102.0,165487.0,102.0,0.1,
1.07357895E8,100.0,132133.0,100.0,0.1,
1.05460565E8,99.0,142076.0,99.0,0.1,
1.10838577E8,100.0,149131.0,100.0,0.1,
1.35361471E8,101.0,177353.0,107.0,0.1,
1.04785466E8,100.0,127322.0,100.0,0.1,
1.12357468E8,102.0,167412.0,102.0,0.1,
1.10148086E8,100.0,146565.0,100.0,0.1,
1.06812684E8,99.0,151056.0,99.0,0.1,
1.09073381E8,99.0,145282.0,99.0,0.1,
1.10128843E8,100.0,435847.0,100.0,0.1,
1.07263926E8,100.0,127322.0,100.0,0.1,
1.08679226E8,100.0,177995.0,100.0,0.1,
1.06338994E8,99.0,124116.0,99.0,0.1,
1.08396679E8,99.0,424302.0,99.0,0.1,
1.13230124E8,101.0,143358.0,101.0,0.1,
1.06163243E8,99.0,149131.0,99.0,0.1,
1.1148866E8,101.0,159073.0,101.0,0.1,
1.0798681E8,99.0,145282.0,99.0,0.1,
1.08370381E8,99.0,430074.0,99.0,0.1,
1.05720982E8,99.0,137585.0,99.0,0.1,
1.07832547E8,99.0,138868.0,99.0,0.1,
1.0659909E8,99.0,142396.0,99.0,0.1,
1.08269999E8,100.0,162601.0,100.0,0.1,
1.07055463E8,100.0,180561.0,100.0,0.1,
1.12521993E8,100.0,147848.0,100.0,0.1,
1.11107654E8,98.0,136943.0,98.0,0.1,
1.08173464E8,99.0,385175.0,99.0,0.1,
1.06538156E8,99.0,130850.0,99.0,0.1,
1.07148791E8,98.0,177033.0,98.0,0.1,
1.12844628E8,99.0,428792.0,99.0,0.1,
1.12342715E8,101.0,153300.0,101.0,0.1,
1.10036478E8,98.0,157791.0,98.0,0.1,
1.11878004E8,101.0,142075.0,101.0,0.1,
1.1207428E8,99.0,143037.0,99.0,0.1,
1.12171135E8,100.0,141113.0,101.0,0.1,
1.07260719E8,99.0,150734.0,99.0,0.1,
1.10425821E8,99.0,156187.0,99.0,0.1,
1.10372905E8,99.0,127323.0,99.0,0.1,
1.06953477E8,99.0,162921.0,99.0,0.1,
1.08573071E8,100.0,149452.0,101.0,0.1,
1.06080821E8,99.0,159073.0,99.0,0.1,
1.1188987E8,99.0,178637.0,99.0,0.1,
1.11576856E8,100.0,191786.0,100.0,0.1,
1.11126577E8,100.0,138868.0,100.0,0.1,
1.09504417E8,99.0,148810.0,99.0,0.1,
1.07675398E8,100.0,139830.0,100.0,0.1,
1.06412757E8,100.0,148810.0,100.0,0.1,
1.02397127E8,99.0,123474.0,99.0,0.1,
1.08649079E8,99.0,135661.0,99.0,0.1,
1.08202648E8,99.0,151376.0,99.0,0.1,
1.12564648E8,100.0,169656.0,100.0,0.1,
1.06366574E8,99.0,175108.0,99.0,0.1,
1.1027156E8,100.0,136302.0,100.0,0.1,
1.10824145E8,100.0,135982.0,100.0,0.1,
