
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
5.66043182E8,131.0,1457314.0,201.0,0.8,
1.20210412E8,129.0,672853.0,213.0,0.8,
2.00913002E8,130.0,270681.0,182.0,0.8,
2.5398853E8,134.0,216159.0,174.0,0.8,
1.74752234E8,132.0,454770.0,318.0,0.8,
1.78645353E8,126.0,217763.0,152.0,0.8,
2.93312585E8,135.0,632123.0,324.0,0.8,
1.22163547E8,131.0,266832.0,226.0,0.8,
1.56961398E8,130.0,187296.0,150.0,0.8,
1.67754948E8,126.0,219366.0,168.0,0.8,
1.35787055E8,129.0,225139.0,179.0,0.8,
8.8702099E7,125.0,220649.0,179.0,0.8,
1.50849597E8,123.0,193068.0,152.0,0.8,
1.41612461E8,129.0,189219.0,140.0,0.8,
2.05715017E8,128.0,262342.0,259.0,0.8,
1.88109553E8,132.0,175429.0,152.0,0.8,
1.07993545E8,131.0,182806.0,166.0,0.8,
9.4658356E7,122.0,190823.0,146.0,0.8,
1.45879529E8,125.0,185692.0,144.0,0.8,
1.93215923E8,126.0,203331.0,171.0,0.8,
1.2128191E8,132.0,171260.0,155.0,0.8,
8.8061318E7,129.0,209746.0,190.0,0.8,
1.29211505E8,133.0,180240.0,160.0,0.8,
1.47295792E8,129.0,173826.0,165.0,0.8,
2.96705393E8,134.0,268435.0,291.0,0.8,
6.7369645E7,123.0,178316.0,182.0,0.8,
1.03769773E8,133.0,203011.0,186.0,0.8,
1.47274625E8,133.0,240854.0,162.0,0.8,
2.74287652E8,134.0,196276.0,172.0,0.8,
1.55036487E8,130.0,207821.0,159.0,0.8,
1.69100654E8,130.0,194352.0,160.0,0.8,
2.88957963E8,124.0,163242.0,152.0,0.8,
2.16651283E8,132.0,355669.0,349.0,0.8,
2.69587623E8,131.0,224498.0,182.0,0.8,
1.08298862E8,129.0,209745.0,179.0,0.8,
1.13105367E8,126.0,288320.0,248.0,0.8,
1.37675084E8,128.0,237968.0,210.0,0.8,
1.51393845E8,126.0,188579.0,153.0,0.8,
8.7583778E7,126.0,155866.0,172.0,0.8,
2.0258423E8,128.0,179919.0,137.0,0.8,
2.38100156E8,129.0,217443.0,181.0,0.8,
4.19132886E8,133.0,170939.0,160.0,0.8,
2.19370277E8,132.0,209746.0,175.0,0.8,
4.84313353E8,132.0,362404.0,155.0,0.8,
5.19027179E8,137.0,343803.0,393.0,0.8,
1.88787537E8,131.0,211990.0,190.0,0.8,
1.36610963E8,128.0,194672.0,161.0,0.8,
7.42792167E8,135.0,163884.0,154.0,0.8,
3.8823649E8,136.0,187616.0,167.0,0.8,
1.48165883E8,131.0,221612.0,217.0,0.8,
1.22164188E8,131.0,227385.0,190.0,0.8,
1.33496532E8,128.0,183768.0,150.0,0.8,
1.82994523E8,124.0,215518.0,206.0,0.8,
1.17240943E8,128.0,423981.0,214.0,0.8,
4.04773664E8,133.0,173825.0,173.0,0.8,
1.51449327E8,128.0,188578.0,181.0,0.8,
2.10266235E8,131.0,197238.0,160.0,0.8,
4.47914509E8,132.0,248552.0,203.0,0.8,
1.9562126E8,129.0,250155.0,232.0,0.8,
8.9833891E7,126.0,372988.0,169.0,0.8,
1.80614522E8,129.0,181844.0,154.0,0.8,
1.27419048E8,129.0,166770.0,166.0,0.8,
2.55691829E8,134.0,174467.0,151.0,0.8,
1.80118381E8,126.0,214877.0,177.0,0.8,
1.18234187E8,129.0,166770.0,133.0,0.8,
2.39207252E8,130.0,203652.0,211.0,0.8,
7.10375919E8,132.0,155225.0,149.0,0.8,
1.05938104E8,126.0,213915.0,193.0,0.8,
8.9905089E7,126.0,150414.0,165.0,0.8,
2.31683037E8,135.0,197559.0,185.0,0.8,
6.77500412E8,132.0,257211.0,257.0,0.8,
7.78480955E8,137.0,226743.0,207.0,0.8,
7.4272193E8,132.0,258173.0,231.0,0.8,
3.04291506E8,133.0,381967.0,192.0,0.8,
1.12684914E8,130.0,192427.0,189.0,0.8,
6.06177675E8,135.0,497423.0,307.0,0.8,
1.73885672E8,132.0,191785.0,174.0,0.8,
3.05803661E8,132.0,163563.0,156.0,0.8,
2.08032479E8,127.0,180561.0,151.0,0.8,
2.32724067E8,132.0,245665.0,200.0,0.8,
2.05137095E8,133.0,202049.0,168.0,0.8,
1.63468316E8,133.0,203973.0,160.0,0.8,
1.70954047E8,132.0,253683.0,198.0,0.8,
1.72744258E8,131.0,183768.0,157.0,0.8,
2.30807174E8,125.0,151376.0,135.0,0.8,
1.37982005E8,133.0,288961.0,294.0,0.8,
1.63800894E8,129.0,230271.0,206.0,0.8,
1.58154446E8,127.0,252721.0,241.0,0.8,
1.1155184E8,128.0,168695.0,161.0,0.8,
3.23746193E8,130.0,180240.0,181.0,0.8,
1.39855282E8,123.0,167732.0,155.0,0.8,
1.3864652E8,131.0,241816.0,188.0,0.8,
1.90184236E8,133.0,288640.0,259.0,0.8,
1.31163035E8,130.0,213914.0,169.0,0.8,
2.47135565E8,130.0,194351.0,172.0,0.8,
9.5268349E7,123.0,156828.0,176.0,0.8,
1.54667348E8,134.0,188578.0,162.0,0.8,
1.078082054E9,137.0,1211649.0,1197.0,0.8,
2.88919478E8,131.0,193069.0,189.0,0.8,
1.68746589E8,136.0,265870.0,247.0,0.8,
