
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
1.00039897E8,122.0,1261680.0,157.0,0.7,
8.0654803E7,121.0,798893.0,133.0,0.7,
2.34115635E8,125.0,574715.0,162.0,0.7,
8.3152506E7,123.0,186333.0,124.0,0.7,
1.39337012E8,126.0,233799.0,182.0,0.7,
1.48771386E8,125.0,482671.0,142.0,0.7,
1.20135045E8,125.0,183768.0,141.0,0.7,
1.41759347E8,126.0,194351.0,157.0,0.7,
7.2618412E7,119.0,153942.0,123.0,0.7,
1.2417537E8,124.0,167091.0,135.0,0.7,
1.56620161E8,123.0,218405.0,152.0,0.7,
1.21680234E8,126.0,188258.0,134.0,0.7,
1.74889819E8,128.0,165808.0,154.0,0.7,
2.52789069E8,130.0,185051.0,164.0,0.7,
2.15418467E8,129.0,188257.0,175.0,0.7,
9.4883495E7,121.0,144320.0,135.0,0.7,
1.30909673E8,123.0,189861.0,186.0,0.7,
7.7675072E7,121.0,128926.0,133.0,0.7,
1.16252189E8,119.0,194672.0,137.0,0.7,
1.30590885E8,124.0,176391.0,140.0,0.7,
1.60833991E8,120.0,174467.0,130.0,0.7,
1.74263791E8,126.0,380364.0,148.0,0.7,
1.29410026E8,124.0,182164.0,170.0,0.7,
1.14931499E8,127.0,200124.0,155.0,0.7,
1.64378496E8,125.0,153621.0,130.0,0.7,
1.10935753E8,125.0,196596.0,143.0,0.7,
7.2966705E7,121.0,130530.0,133.0,0.7,
1.00188065E8,116.0,170297.0,147.0,0.7,
1.00207308E8,124.0,179278.0,150.0,0.7,
3.48267484E8,122.0,188578.0,198.0,0.7,
1.01645379E8,121.0,150093.0,137.0,0.7,
1.0399844E8,121.0,171581.0,137.0,0.7,
1.64860525E8,122.0,189540.0,125.0,0.7,
9.5139423E7,125.0,169015.0,155.0,0.7,
1.72407191E8,123.0,195634.0,158.0,0.7,
3.51572737E8,130.0,169015.0,165.0,0.7,
1.6136509E8,125.0,178316.0,136.0,0.7,
2.16734027E8,124.0,203331.0,167.0,0.7,
2.70577339E8,128.0,183126.0,149.0,0.7,
8.7754717E7,124.0,128926.0,136.0,0.7,
1.50473082E8,123.0,142717.0,131.0,0.7,
1.18075435E8,119.0,170297.0,148.0,0.7,
8.4910005E7,117.0,175429.0,139.0,0.7,
1.39147471E8,128.0,206218.0,158.0,0.7,
1.12206412E8,123.0,206217.0,152.0,0.7,
1.86113764E8,123.0,252400.0,216.0,0.7,
4.0885504E8,127.0,159714.0,133.0,0.7,
1.09612176E8,121.0,171260.0,137.0,0.7,
9.1495177E7,122.0,199482.0,153.0,0.7,
1.00024181E8,119.0,162922.0,126.0,0.7,
1.31912217E8,126.0,168374.0,135.0,0.7,
1.201235E8,125.0,173184.0,137.0,0.7,
3.06071135E8,128.0,151697.0,148.0,0.7,
7.6448671E7,118.0,375553.0,148.0,0.7,
1.20396104E8,121.0,204935.0,200.0,0.7,
1.13934086E8,127.0,180240.0,150.0,0.7,
1.06045222E8,121.0,169978.0,144.0,0.7,
9.0543947E7,121.0,167091.0,144.0,0.7,
1.48177749E8,121.0,168374.0,130.0,0.7,
1.84240167E8,125.0,243420.0,186.0,0.7,
1.15497234E8,122.0,241176.0,218.0,0.7,
8.85039E7,124.0,205255.0,156.0,0.7,
1.0864074E8,124.0,165167.0,128.0,0.7,
1.5560575E8,126.0,172222.0,154.0,0.7,
8.1418417E7,124.0,130209.0,130.0,0.7,
1.74882764E8,129.0,205256.0,181.0,0.7,
1.67884516E8,126.0,139830.0,131.0,0.7,
1.26164745E8,123.0,380364.0,142.0,0.7,
1.77108823E8,124.0,174788.0,151.0,0.7,
1.50548449E8,127.0,199803.0,172.0,0.7,
1.05555175E8,122.0,165166.0,150.0,0.7,
3.07503112E8,128.0,192427.0,174.0,0.7,
1.28868985E8,130.0,174467.0,139.0,0.7,
9.2403753E7,116.0,165808.0,138.0,0.7,
7.9862966E7,120.0,168374.0,133.0,0.7,
1.33898705E8,123.0,154583.0,129.0,0.7,
1.32229401E8,125.0,176712.0,139.0,0.7,
1.26568521E8,123.0,173184.0,135.0,0.7,
1.04870135E8,126.0,233478.0,151.0,0.7,
7.8560556E7,122.0,132133.0,139.0,0.7,
4.96494301E8,126.0,167091.0,172.0,0.7,
9.9866712E7,125.0,226102.0,144.0,0.7,
1.01398752E8,123.0,175430.0,153.0,0.7,
1.14926368E8,122.0,203011.0,137.0,0.7,
9.7371255E7,119.0,409549.0,162.0,0.7,
1.26060513E8,129.0,186013.0,142.0,0.7,
1.40392474E8,121.0,182485.0,153.0,0.7,
8.8691516E7,120.0,156828.0,129.0,0.7,
1.09419429E8,121.0,153621.0,133.0,0.7,
1.10574632E8,121.0,153942.0,131.0,0.7,
8.2331484E7,120.0,204614.0,154.0,0.7,
1.06119306E8,120.0,181202.0,143.0,0.7,
1.01542751E8,118.0,455731.0,142.0,0.7,
1.02811166E8,123.0,188258.0,136.0,0.7,
2.13725431E8,128.0,181522.0,157.0,0.7,
2.57685052E8,123.0,170939.0,146.0,0.7,
1.20525351E8,124.0,151055.0,138.0,0.7,
8.4042801E7,121.0,169015.0,149.0,0.7,
1.26529715E8,125.0,167732.0,136.0,0.7,
1.11815785E8,121.0,154583.0,134.0,0.7,
