
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
1.21652973E8,104.0,1150714.0,104.0,0.2,
1.04008382E8,101.0,811079.0,109.0,0.2,
1.08726371E8,105.0,277095.0,104.0,0.2,
1.04475018E8,106.0,168373.0,108.0,0.2,
1.08068912E8,102.0,165167.0,102.0,0.2,
1.00679716E8,103.0,152659.0,103.0,0.2,
1.00299994E8,100.0,480105.0,100.0,0.2,
1.02229715E8,103.0,135661.0,104.0,0.2,
1.00129696E8,103.0,165487.0,103.0,0.2,
1.03256955E8,101.0,171901.0,101.0,0.2,
1.06293773E8,104.0,179599.0,104.0,0.2,
1.06900239E8,103.0,171581.0,104.0,0.2,
1.03018024E8,103.0,453486.0,103.0,0.2,
1.09478119E8,104.0,163563.0,104.0,0.2,
1.06553229E8,104.0,191785.0,104.0,0.2,
1.03422763E8,103.0,183126.0,103.0,0.2,
9.9344914E7,101.0,141113.0,103.0,0.2,
1.08552545E8,104.0,156507.0,104.0,0.2,
1.10335381E8,104.0,433282.0,104.0,0.2,
1.11507261E8,102.0,449638.0,102.0,0.2,
1.04873662E8,102.0,139831.0,102.0,0.2,
9.7832438E7,101.0,152338.0,101.0,0.2,
9.9891087E7,102.0,159073.0,102.0,0.2,
1.04654295E8,102.0,156507.0,103.0,0.2,
9.696331E7,105.0,117060.0,105.0,0.2,
9.9778517E7,103.0,175108.0,104.0,0.2,
1.07831586E8,107.0,144320.0,107.0,0.2,
1.07250456E8,107.0,187937.0,106.0,0.2,
1.09163822E8,102.0,139509.0,102.0,0.2,
1.06325524E8,101.0,163884.0,104.0,0.2,
1.00298069E8,101.0,158432.0,100.0,0.2,
9.8760257E7,102.0,162601.0,102.0,0.2,
1.03362148E8,102.0,156828.0,102.0,0.2,
9.7482542E7,101.0,118022.0,102.0,0.2,
1.03020911E8,103.0,142396.0,103.0,0.2,
1.06150735E8,104.0,148810.0,107.0,0.2,
1.01300934E8,104.0,160355.0,106.0,0.2,
1.06075369E8,104.0,173184.0,105.0,0.2,
1.06855981E8,103.0,156186.0,102.0,0.2,
9.639116E7,102.0,143037.0,102.0,0.2,
1.04236408E8,102.0,154903.0,103.0,0.2,
1.05520537E8,103.0,166129.0,103.0,0.2,
1.07902784E8,106.0,170298.0,106.0,0.2,
1.06583055E8,105.0,163242.0,105.0,0.2,
1.01815035E8,103.0,397041.0,104.0,0.2,
1.01608497E8,101.0,162922.0,101.0,0.2,
1.02599496E8,104.0,169336.0,112.0,0.2,
1.02806034E8,102.0,386137.0,102.0,0.2,
1.10003765E8,102.0,146565.0,102.0,0.2,
1.07643327E8,105.0,163883.0,106.0,0.2,
1.07210046E8,104.0,169657.0,104.0,0.2,
1.08075005E8,103.0,173505.0,103.0,0.2,
9.8856471E7,101.0,156828.0,101.0,0.2,
1.03049775E8,101.0,129247.0,101.0,0.2,
1.04302474E8,104.0,167091.0,104.0,0.2,
1.03992026E8,104.0,172542.0,107.0,0.2,
1.10782453E8,104.0,164846.0,104.0,0.2,
1.01165273E8,104.0,128606.0,104.0,0.2,
1.03051379E8,101.0,154903.0,101.0,0.2,
9.9255757E7,102.0,150093.0,103.0,0.2,
1.10736591E8,103.0,155545.0,106.0,0.2,
1.02068719E8,104.0,134057.0,104.0,0.2,
1.02064549E8,105.0,150734.0,109.0,0.2,
1.08894424E8,104.0,165487.0,104.0,0.2,
1.04679631E8,105.0,164845.0,104.0,0.2,
1.03984649E8,100.0,142717.0,100.0,0.2,
9.8128456E7,103.0,127964.0,103.0,0.2,
1.02749909E8,103.0,138868.0,103.0,0.2,
1.07623765E8,104.0,159715.0,104.0,0.2,
1.05394498E8,105.0,164204.0,105.0,0.2,
1.06582093E8,103.0,161959.0,104.0,0.2,
1.02684164E8,103.0,154263.0,103.0,0.2,
1.10039044E8,105.0,409228.0,105.0,0.2,
9.8739732E7,104.0,156187.0,104.0,0.2,
1.00194479E8,101.0,159715.0,101.0,0.2,
1.08868767E8,102.0,156186.0,104.0,0.2,
1.02144407E8,101.0,208142.0,101.0,0.2,
9.9917064E7,101.0,136623.0,101.0,0.2,
1.0357927E8,101.0,169336.0,101.0,0.2,
1.03789978E8,103.0,166449.0,102.0,0.2,
1.03937825E8,104.0,135340.0,104.0,0.2,
1.0798681E8,102.0,164525.0,102.0,0.2,
1.0279962E8,103.0,500952.0,103.0,0.2,
1.01321781E8,102.0,135982.0,103.0,0.2,
1.03765283E8,101.0,157149.0,101.0,0.2,
1.09718332E8,104.0,405380.0,105.0,0.2,
1.08128243E8,104.0,156828.0,104.0,0.2,
9.6098992E7,103.0,138548.0,103.0,0.2,
1.07152318E8,104.0,164205.0,106.0,0.2,
1.05794105E8,104.0,131492.0,106.0,0.2,
9.8077783E7,101.0,144641.0,103.0,0.2,
1.04722607E8,102.0,146886.0,106.0,0.2,
1.07486179E8,104.0,154904.0,104.0,0.2,
1.03242202E8,100.0,169336.0,100.0,0.2,
1.02739968E8,103.0,394796.0,103.0,0.2,
1.1138924E8,105.0,156828.0,105.0,0.2,
1.00287165E8,102.0,153942.0,104.0,0.2,
1.18129636E8,104.0,158431.0,104.0,0.2,
1.06413719E8,103.0,154583.0,103.0,0.2,
1.03170363E8,103.0,146886.0,103.0,0.2,
