
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
1.27066178E8,118.0,1205872.0,139.0,0.0,
7.7586307E7,113.0,732182.0,114.0,0.0,
6.6029821E7,115.0,228346.0,123.0,0.0,
5.7188151E7,115.0,157790.0,126.0,0.0,
5.0143742E7,110.0,149772.0,111.0,0.0,
6.285671E7,111.0,152658.0,118.0,0.0,
7.2169825E7,114.0,165807.0,119.0,0.0,
5.8141944E7,112.0,153300.0,119.0,0.0,
6.2502646E7,117.0,138868.0,116.0,0.0,
5.8311599E7,114.0,190182.0,116.0,0.0,
5.7212204E7,111.0,148489.0,115.0,0.0,
6.4572191E7,113.0,155866.0,116.0,0.0,
6.2934322E7,110.0,176071.0,116.0,0.0,
6.5888067E7,116.0,237646.0,120.0,0.0,
5.9030313E7,113.0,139509.0,112.0,0.0,
5.1379762E7,109.0,141112.0,109.0,0.0,
5.8114683E7,108.0,143999.0,111.0,0.0,
9.7061136E7,116.0,213914.0,125.0,0.0,
6.3145029E7,114.0,161958.0,121.0,0.0,
5.4500916E7,114.0,162921.0,119.0,0.0,
5.580236E7,111.0,140151.0,111.0,0.0,
5.7917446E7,110.0,170939.0,117.0,0.0,
6.6032387E7,115.0,175750.0,124.0,0.0,
6.7531068E7,111.0,160355.0,119.0,0.0,
6.0547914E7,108.0,143678.0,115.0,0.0,
5.4865885E7,112.0,157149.0,117.0,0.0,
5.393358E7,110.0,138547.0,115.0,0.0,
5.3313325E7,113.0,189861.0,121.0,0.0,
9.0226152E7,121.0,177032.0,131.0,0.0,
6.138946E7,113.0,159714.0,117.0,0.0,
6.9948904E7,113.0,177032.0,148.0,0.0,
5.7505333E7,113.0,178957.0,121.0,0.0,
6.456706E7,114.0,186653.0,124.0,0.0,
5.1004209E7,109.0,144320.0,114.0,0.0,
5.9189384E7,112.0,139509.0,119.0,0.0,
7.4264386E7,114.0,174787.0,122.0,0.0,
5.570294E7,110.0,133416.0,115.0,0.0,
7.4691573E7,120.0,479783.0,129.0,0.0,
6.291059E7,113.0,171580.0,114.0,0.0,
5.3862382E7,114.0,169335.0,114.0,0.0,
6.3796393E7,115.0,137264.0,120.0,0.0,
5.7811291E7,118.0,169977.0,124.0,0.0,
6.3181911E7,112.0,182164.0,134.0,0.0,
7.753371E7,117.0,154582.0,126.0,0.0,
5.5209045E7,112.0,168373.0,125.0,0.0,
5.5552526E7,113.0,165807.0,119.0,0.0,
5.3447061E7,112.0,126680.0,114.0,0.0,
5.8168884E7,113.0,183447.0,124.0,0.0,
8.3518811E7,115.0,151054.0,131.0,0.0,
5.3166761E7,111.0,159073.0,146.0,0.0,
7.2834658E7,113.0,161638.0,117.0,0.0,
7.3687748E7,113.0,158752.0,124.0,0.0,
5.6920357E7,116.0,163562.0,117.0,0.0,
