
a_running_time,a_path_length,robStar_running_time,robStar_path_length,map_complexity,
3.90770753E8,139.0,1630819.0,236.0,0.9,
5.94065039E8,140.0,1787647.0,569.0,0.9,
1.423669352E9,145.0,299865.0,242.0,0.9,
3.001534925E9,146.0,1433581.0,1324.0,0.9,
5.40064899E8,139.0,455410.0,483.0,0.9,
2.28065731E8,135.0,262984.0,266.0,0.9,
7.7357952E8,139.0,503838.0,350.0,0.9,
4.05759853E8,140.0,332898.0,320.0,0.9,
1.09066646E8,136.0,403134.0,439.0,0.9,
1.86565326E8,136.0,189861.0,187.0,0.9,
3.71915476E8,139.0,439054.0,460.0,0.9,
3.67532951E8,141.0,223216.0,235.0,0.9,
9.27423601E8,141.0,289282.0,262.0,0.9,
4.94132901E8,135.0,235403.0,217.0,0.9,
4.52149827E8,138.0,242458.0,258.0,0.9,
1.59399352E9,142.0,936158.0,1090.0,0.9,
9.04016785E8,141.0,549700.0,604.0,0.9,
2.93371597E8,136.0,217763.0,235.0,0.9,
4.89299777E8,142.0,426225.0,476.0,0.9,
3.9998544E8,139.0,236365.0,243.0,0.9,
5.3342264E8,139.0,217763.0,209.0,0.9,
2.99889739E8,135.0,263305.0,282.0,0.9,
3.84991851E8,139.0,287999.0,307.0,0.9,
1.232108942E9,140.0,330333.0,357.0,0.9,
5.4540603E8,138.0,250155.0,236.0,0.9,
2.61201014E8,138.0,339313.0,306.0,0.9,
2.13776745E8,134.0,210386.0,180.0,0.9,
1.721919933E9,139.0,233158.0,230.0,0.9,
3.77673852E8,141.0,337710.0,330.0,0.9,
3.69231119E8,140.0,470484.0,298.0,0.9,
2.24395507E8,139.0,221612.0,218.0,0.9,
1.40751671E8,134.0,214877.0,197.0,0.9,
5.89764938E8,134.0,342520.0,354.0,0.9,
5.32005416E8,137.0,475615.0,300.0,0.9,
1.53888019E8,137.0,297941.0,301.0,0.9,
1.67984899E8,137.0,495178.0,515.0,0.9,
3.39960091E8,138.0,303393.0,336.0,0.9,
5.25125189E8,139.0,212311.0,186.0,0.9,
1.250769548E9,141.0,264908.0,241.0,0.9,
1.647292264E9,143.0,775160.0,661.0,0.9,
9.2211006E7,133.0,445148.0,230.0,0.9,
7.50402974E8,140.0,252400.0,272.0,0.9,
1.20371731E8,133.0,292810.0,315.0,0.9,
7.7538224E8,142.0,251117.0,250.0,0.9,
2.41500661E8,136.0,761048.0,626.0,0.9,
4.47894625E8,140.0,755275.0,894.0,0.9,
2.36147022E8,138.0,274530.0,313.0,0.9,
2.443783743E9,147.0,488444.0,264.0,0.9,
8.01901884E8,141.0,577281.0,412.0,0.9,
3.78603275E8,136.0,610315.0,438.0,0.9,
9.09100705E8,141.0,283830.0,266.0,0.9,
1.8566573E8,136.0,300186.0,301.0,0.9,
2.55623518E8,138.0,351820.0,370.0,0.9,
5.76444181E8,138.0,242137.0,262.0,0.9,
1.49158805E8,139.0,418529.0,204.0,0.9,
7.22200556E8,141.0,191465.0,166.0,0.9,
2.14941891E8,137.0,492613.0,570.0,0.9,
1.02080906E8,133.0,241175.0,236.0,0.9,
1.180204973E9,142.0,478502.0,575.0,0.9,
1.243630827E9,141.0,268115.0,213.0,0.9,
6.15437262E8,142.0,354707.0,421.0,0.9,
1.36567026E8,134.0,530136.0,396.0,0.9,
5.14106501E8,140.0,334502.0,348.0,0.9,
1.340075867E9,144.0,269077.0,285.0,0.9,
2.29883204E8,139.0,252400.0,247.0,0.9,
2.58420765E8,138.0,409548.0,209.0,0.9,
3.63878764E8,141.0,488123.0,583.0,0.9,
9.5948418E8,144.0,806911.0,936.0,0.9,
2.89153597E8,135.0,200445.0,212.0,0.9,
3.45784856E8,135.0,237968.0,249.0,0.9,
3.46628326E8,140.0,241817.0,262.0,0.9,
1.600840393E9,144.0,329692.0,361.0,0.9,
3.78302127E8,138.0,221932.0,256.0,0.9,
2.77028774E8,140.0,192427.0,221.0,0.9,
1.662950368E9,144.0,369460.0,429.0,0.9,
9.91724358E8,140.0,456693.0,280.0,0.9,
2.74177647E8,140.0,260097.0,269.0,0.9,
3.11906804E8,138.0,241176.0,236.0,0.9,
9.35362817E8,146.0,617691.0,436.0,0.9,
3.61852507E8,136.0,664515.0,539.0,0.9,
2.88104549E8,141.0,207180.0,205.0,0.9,
5.41857998E8,142.0,299545.0,340.0,0.9,
3.03277417E8,134.0,196275.0,194.0,0.9,
5.70815371E8,140.0,695945.0,870.0,0.9,
3.47873008E8,139.0,189862.0,186.0,0.9,
1.99766458E8,138.0,237327.0,185.0,0.9,
5.53899116E8,140.0,260097.0,312.0,0.9,
4.47466795E8,136.0,201728.0,194.0,0.9,
1.74433768E8,135.0,193389.0,190.0,0.9,
3.78076025E8,135.0,281906.0,302.0,0.9,
1.09465611E8,132.0,228988.0,267.0,0.9,
5.01171238E8,136.0,197237.0,211.0,0.9,
8.52214161E8,140.0,176071.0,184.0,0.9,
1.186414591E9,140.0,237326.0,203.0,0.9,
1.43356811E8,134.0,174147.0,183.0,0.9,
3.028498434E9,150.0,331295.0,393.0,0.9,
8.92382329E8,143.0,1741785.0,2194.0,0.9,
8.36901785E8,137.0,229630.0,220.0,0.9,
2.82406146E8,136.0,172543.0,184.0,0.9,
1.58801962E8,135.0,354065.0,349.0,0.9,
